YearBorn,nBornThisYear,meanLRS,SD,LRSfemale,LRSmale,meanRRS,SDRRS,replicate,parameterset
-1,71,1.084507042,1.250673863,0.945945946,1.235294118,0.083423619,1.250673863,1,1
0,449,0.683741648,1.066004006,0.728070175,0.63800905,0.052595511,1.066004006,1,1
1,4,2,1.825741858,1,2.333333333,0.153846154,1.825741858,1,1
2,45,1.088888889,1.258105036,1.318181818,0.869565217,0.083760684,1.258105036,1,1
3,62,1.129032258,1.207678588,1.085714286,1.185185185,0.086848635,1.207678588,1,1
4,83,1.301204819,1.394544595,1.488888889,1.078947368,0.100092678,1.394544595,1,1
5,95,1.631578947,1.451724078,1.744186047,1.538461538,0.125506073,1.451724078,1,1
6,90,1.255555556,1.457727268,1.142857143,1.327272727,0.096581197,1.457727268,1,1
7,88,1.318181818,1.343742026,1.512820513,1.163265306,0.101398601,1.343742026,1,1
8,86,1.162790698,1.404701895,1.179487179,1.14893617,0.089445438,1.404701895,1,1
9,88,1.420454545,1.679638651,1.372093023,1.466666667,0.109265734,1.679638651,1,1
10,93,1.333333333,1.548725516,1.622222222,1.0625,0.102564103,1.548725516,1,1
11,91,1.373626374,1.403553836,1.4,1.352941176,0.105663567,1.403553836,1,1
12,94,1.191489362,1.305707864,1.30952381,1.096153846,0.091653028,1.305707864,1,1
13,88,1.193181818,1.60357327,1.340425532,1.024390244,0.091783217,1.60357327,1,1
14,83,1.409638554,1.448600204,1.565217391,1.216216216,0.108433735,1.448600204,1,1
15,82,1.304878049,1.653197608,1.277777778,1.357142857,0.100375235,1.653197608,1,1
16,86,1.348837209,1.493258906,1.357142857,1.340909091,0.103756708,1.493258906,1,1
17,98,1.234693878,1.47697811,1.222222222,1.25,0.094976452,1.47697811,1,1
18,87,1.390804598,1.496945121,1.184210526,1.551020408,0.106984969,1.496945121,1,1
19,85,1.905882353,1.816744403,1.804878049,2,0.146606335,1.816744403,1,1
20,99,1.474747475,1.586572704,1.673469388,1.28,0.113442113,1.586572704,1,1
21,94,1.265957447,1.345446577,1.072727273,1.538461538,0.097381342,1.345446577,1,1
22,94,1.063829787,1.618498645,0.90625,1.14516129,0.081833061,1.618498645,1,1
23,93,1.204301075,1.471165907,1.254901961,1.142857143,0.092638544,1.471165907,1,1
24,78,1.179487179,1.617626847,1.285714286,1.093023256,0.090729783,1.617626847,1,1
25,84,1.464285714,1.878517928,1.425,1.5,0.112637363,1.878517928,1,1
26,85,1.294117647,1.280099786,1.454545455,1.12195122,0.099547511,1.280099786,1,1
27,87,1.505747126,1.539205195,1.585365854,1.434782609,0.115826702,1.539205195,1,1
28,97,1.206185567,1.330242336,1.382978723,1.04,0.092783505,1.330242336,1,1
29,82,1.292682927,1.519322501,1,1.510638298,0.099437148,1.519322501,1,1
30,91,1.318681319,1.724845377,1.219512195,1.4,0.101437025,1.724845377,1,1
31,87,1.367816092,1.548554784,1.52,1.162162162,0.105216622,1.548554784,1,1
32,88,1.238636364,1.768136354,1,1.428571429,0.09527972,1.768136354,1,1
33,92,1.22826087,1.407228286,1.093023256,1.346938776,0.094481605,1.407228286,1,1
34,98,1.204081633,1.29199904,1.283018868,1.111111111,0.092621664,1.29199904,1,1
35,80,1.7875,1.762433229,1.675675676,1.88372093,0.1375,1.762433229,1,1
36,94,1.223404255,1.415385926,1.56,0.840909091,0.09410802,1.415385926,1,1
37,93,1.365591398,1.586525779,1.659090909,1.102040816,0.105045492,1.586525779,1,1
38,83,1.289156627,1.452752816,1.266666667,1.315789474,0.099165894,1.452752816,1,1
39,93,1.537634409,1.942427548,1.488888889,1.583333333,0.11827957,1.942427548,1,1
40,93,1.172043011,1.348297283,1.155555556,1.1875,0.090157155,1.348297283,1,1
41,87,1.091954023,1.36084946,1.133333333,1.070175439,0.083996463,1.36084946,1,1
42,92,1.260869565,1.588900824,1.35,1.192307692,0.096989967,1.588900824,1,1
43,80,1.2625,1.54873366,1.111111111,1.386363636,0.097115385,1.54873366,1,1
44,86,1.26744186,1.498425987,1.186046512,1.348837209,0.097495528,1.498425987,1,1
45,91,1.318681319,1.497250227,1.137254902,1.55,0.101437025,1.497250227,1,1
46,82,1.536585366,1.441836294,1.536585366,1.536585366,0.118198874,1.441836294,1,1
47,95,1.347368421,1.521256627,1.561403509,1.026315789,0.103643725,1.521256627,1,1
48,82,1.292682927,1.613888831,1.205128205,1.372093023,0.099437148,1.613888831,1,1
49,91,1.043956044,1.555721254,0.8,1.196428571,0.080304311,1.555721254,1,1
50,85,1.588235294,1.781479573,1.369565217,1.846153846,0.122171946,1.781479573,1,1
51,103,1.184466019,1.398511624,1.204081633,1.166666667,0.091112771,1.398511624,1,1
52,85,1.658823529,1.809715455,1.756756757,1.583333333,0.12760181,1.809715455,1,1
53,91,1.384615385,1.610860576,1.325,1.431372549,0.106508876,1.610860576,1,1
54,91,1.186813187,1.332600531,1.326923077,1,0.091293322,1.332600531,1,1
55,90,1.466666667,1.515463366,1.615384615,1.263157895,0.112820513,1.515463366,1,1
56,94,1.382978723,1.328807234,1.14893617,1.617021277,0.106382979,1.328807234,1,1
57,92,1.326086957,1.729566392,1.085106383,1.577777778,0.102006689,1.729566392,1,1
58,79,1.253164557,1.506127267,1.452380952,1.027027027,0.096397274,1.506127267,1,1
59,91,1.351648352,1.566124916,1.28,1.43902439,0.10397295,1.566124916,1,1
60,85,1.541176471,1.796510779,1.5,1.571428571,0.118552036,1.796510779,1,1
61,99,1.454545455,1.437633595,1.270833333,1.62745098,0.111888112,1.437633595,1,1
62,95,1.147368421,1.42894412,1.304347826,1,0.088259109,1.42894412,1,1
63,85,1.352941176,1.351417971,1.340909091,1.365853659,0.104072398,1.351417971,1,1
64,80,1.3875,1.479768627,1.214285714,1.578947368,0.106730769,1.479768627,1,1
65,94,1.20212766,1.403373717,1.347826087,1.0625,0.092471358,1.403373717,1,1
66,89,1.393258427,1.592724777,1.45,1.346938776,0.107173725,1.592724777,1,1
67,91,1.373626374,1.379600197,1.571428571,1.204081633,0.105663567,1.379600197,1,1
68,89,1.247191011,1.392193322,1.211538462,1.297297297,0.09593777,1.392193322,1,1
69,87,1.252873563,1.231546492,1.185185185,1.363636364,0.096374889,1.231546492,1,1
70,88,1.465909091,1.575304121,1.378378378,1.529411765,0.112762238,1.575304121,1,1
71,98,0.959183673,1.226161283,1.085106383,0.843137255,0.073783359,1.226161283,1,1
72,86,1.279069767,1.476491571,1.4,1.173913043,0.098389982,1.476491571,1,1
73,95,1.357894737,1.443369208,1.320754717,1.404761905,0.104453441,1.443369208,1,1
74,89,1.561797753,1.559101258,1.6,1.522727273,0.120138289,1.559101258,1,1
75,88,1.397727273,1.636788085,1.534883721,1.266666667,0.107517483,1.636788085,1,1
76,101,1.405940594,1.32044097,1.555555556,1.285714286,0.108149276,1.32044097,1,1
77,90,1.433333333,1.702938637,1.135135135,1.641509434,0.11025641,1.702938637,1,1
78,90,1.433333333,1.774032415,1.409090909,1.456521739,0.11025641,1.774032415,1,1
79,86,1.348837209,1.36999306,1.448979592,1.216216216,0.103756708,1.36999306,1,1
80,84,1.321428571,1.490214784,1.30952381,1.333333333,0.101648352,1.490214784,1,1
81,98,1.255102041,1.501279348,1.18,1.333333333,0.096546311,1.501279348,1,1
82,92,1.608695652,1.715837807,1.4,1.857142857,0.123745819,1.715837807,1,1
83,90,1.244444444,1.486350716,1.058823529,1.487179487,0.095726496,1.486350716,1,1
84,89,1.235955056,1.340136288,1.276595745,1.19047619,0.095073466,1.340136288,1,1
85,84,1.333333333,1.442331891,1.234042553,1.459459459,0.102564103,1.442331891,1,1
86,82,1.292682927,1.469759407,1.485714286,1.14893617,0.099437148,1.469759407,1,1
87,93,1.301075269,1.523618021,1.625,1.056603774,0.100082713,1.523618021,1,1
88,91,1.175824176,1.371077489,1.294117647,1.025,0.090448014,1.371077489,1,1
89,89,1.415730337,1.436607342,1.476190476,1.361702128,0.108902334,1.436607342,1,1
90,91,1.230769231,1.383047545,1.065217391,1.4,0.094674556,1.383047545,1,1
91,97,1.319587629,1.610812371,1.260869565,1.37254902,0.101506741,1.610812371,1,1
92,81,1.061728395,1.197347892,1.513513514,0.681818182,0.081671415,1.197347892,1,1
93,94,1.595744681,1.554176814,1.306122449,1.911111111,0.122749591,1.554176814,1,1
94,97,1.360824742,1.51510153,1.333333333,1.405405405,0.104678826,1.51510153,1,1
