year,dead_a,dead_b,dead_c,dead_d
293,2901,380,81,41
294,2932,387,81,39
295,2954,376,104,37
296,3051,369,94,46
297,3200,389,89,55
298,3197,383,91,45
299,2931,404,101,53
300,2994,376,93,30
301,2735,355,69,41
302,2891,362,80,39
303,2894,381,79,50
304,2915,376,89,57
305,2889,391,87,38
306,2910,386,94,36
307,2851,391,108,39
308,2916,377,86,48
309,2894,390,85,53
310,2870,401,94,37
311,2836,383,80,37
312,2921,372,95,45
313,2899,376,77,47
314,2861,411,76,52
315,2881,398,95,43
316,2960,368,102,34
317,2853,409,83,43
318,2872,399,91,33
319,2897,397,74,44
320,2948,413,92,48
321,3092,389,103,40
322,3227,374,101,40
323,3210,403,95,44
324,2899,407,85,53
325,2926,418,101,53
326,2707,377,84,40
327,2857,397,102,44
328,2861,378,93,38
329,2866,394,93,51
330,2907,381,108,34
331,2878,381,84,50
332,2908,369,108,42
333,2872,419,103,47
334,2870,400,90,42
335,2876,388,96,32
336,2870,362,106,47
337,2846,417,95,38
338,2913,393,82,44
339,2861,406,82,38
340,2910,404,94,62
341,2893,386,99,29
342,2839,420,91,44
343,2916,404,86,51
344,2875,379,83,39
345,2818,369,81,44
346,2598,393,73,38
347,2097,383,91,34
348,1275,388,75,45
349,465,400,35,41
