year,popsize,propmig,He,Ho,meanRRS,nadults,k,nSNP,nMicro,maxage,broodsize,maturity,years,r0,ratemort,V17
21,123,0.154471544715447,0.300300746909908,0.239837398373984,NA,111,1000,10,100,9,2,1,100,0.1,0.0555555555555556,1
22,119,0.151260504201681,0.286021467410494,0.222689075630252,NA,110,1000,10,100,9,2,1,100,0.1,0.0555555555555556,1
23,119,0.168067226890756,0.285869641974437,0.216806722689076,NA,109,1000,10,100,9,2,1,100,0.1,0.0555555555555556,1
24,111,0.162162162162162,0.287018099180261,0.231531531531532,NA,104,1000,10,100,9,2,1,100,0.1,0.0555555555555556,1
25,103,0.116504854368932,0.250593835422754,0.20873786407767,NA,93,1000,10,100,9,2,1,100,0.1,0.0555555555555556,1
26,99,0.131313131313131,0.25290786654423,0.213131313131313,NA,91,1000,10,100,9,2,1,100,0.1,0.0555555555555556,1
27,95,0.147368421052632,0.260598337950139,0.202105263157895,NA,88,1000,10,100,9,2,1,100,0.1,0.0555555555555556,1
28,91,0.142857142857143,0.294922110856177,0.227472527472527,NA,83,1000,10,100,9,2,1,100,0.1,0.0555555555555556,1
29,87,0.126436781609195,0.279534945171093,0.218390804597701,NA,81,1000,10,100,9,2,1,100,0.1,0.0555555555555556,1
30,83,0.132530120481928,0.282472056902308,0.213253012048193,NA,76,1000,10,100,9,2,1,100,0.1,0.0555555555555556,1
31,80,0.125,0.2751875,0.225,NA,73,1000,10,100,9,2,1,100,0.1,0.0555555555555556,1
32,78,0.153846153846154,0.321408612754767,0.247435897435897,NA,72,1000,10,100,9,2,1,100,0.1,0.0555555555555556,1
33,80,0.1875,0.3333984375,0.25375,NA,73,1000,10,100,9,2,1,100,0.1,0.0555555555555556,1
34,76,0.184210526315789,0.339897853185596,0.264473684210526,NA,69,1000,10,100,9,2,1,100,0.1,0.0555555555555556,1
35,68,0.132352941176471,0.321810121107266,0.269117647058824,NA,63,1000,10,100,9,2,1,100,0.1,0.0555555555555556,1
36,70,0.157142857142857,0.336295918367347,0.281428571428571,NA,63,1000,10,100,9,2,1,100,0.1,0.0555555555555556,1
37,69,0.188405797101449,0.332640201638311,0.266666666666667,NA,64,1000,10,100,9,2,1,100,0.1,0.0555555555555556,1
38,67,0.194029850746269,0.326063711294275,0.262686567164179,NA,63,1000,10,100,9,2,1,100,0.1,0.0555555555555556,1
39,65,0.2,0.313810650887574,0.232307692307692,NA,60,1000,10,100,9,2,1,100,0.1,0.0555555555555556,1
40,62,0.209677419354839,0.30753121748179,0.22741935483871,NA,58,1000,10,100,9,2,1,100,0.1,0.0555555555555556,1
41,57,0.175438596491228,0.301969836872884,0.245614035087719,NA,53,1000,10,100,9,2,1,100,0.1,0.0555555555555556,1
42,56,0.178571428571429,0.306808035714286,0.241071428571429,NA,51,1000,10,100,9,2,1,100,0.1,0.0555555555555556,1
43,58,0.241379310344828,0.328998216409037,0.270689655172414,NA,52,1000,10,100,9,2,1,100,0.1,0.0555555555555556,1
