year,popsize,propmig,He,Ho,meanRRS,nadults,k,allele,nSNP,nMicro,sex,maxage,broodsize,sexratio,maturity,years,r0,ratemort,plotit,V21
38,73,0.0958904109589041,0.365809720397823,0.364383561643836,NA,67,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,1
39,73,0.123287671232877,0.372452617751923,0.367123287671233,NA,65,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,1
40,70,0.114285714285714,0.3795,0.384285714285714,NA,64,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,1
41,65,0.107692307692308,0.375360946745562,0.384615384615385,NA,61,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,1
42,61,0.0983606557377049,0.362846009137329,0.372131147540984,NA,56,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,1
43,63,0.142857142857143,0.381242126480222,0.363492063492063,NA,58,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,1
44,63,0.174603174603175,0.397669438145629,0.388888888888889,NA,58,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,1
45,60,0.166666666666667,0.39225,0.386666666666667,NA,55,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,1
46,60,0.216666666666667,0.424902777777778,0.391666666666667,NA,56,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,1
47,60,0.233333333333333,0.430458333333333,0.398333333333333,NA,55,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,1
48,57,0.210526315789474,0.421899045860265,0.401754385964912,NA,50,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,1
49,59,0.271186440677966,0.431197931628842,0.403389830508475,NA,54,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,1
50,59,0.23728813559322,0.422421717897156,0.401694915254237,NA,53,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,1
51,58,0.241379310344828,0.425653983353151,0.4,NA,53,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,1
52,55,0.2,0.407603305785124,0.389090909090909,NA,50,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,1
53,54,0.203703703703704,0.419307270233196,0.392592592592593,NA,50,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,1
54,59,0.254237288135593,0.440807239299052,0.398305084745763,NA,53,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,1
55,61,0.262295081967213,0.434399355012094,0.390163934426229,NA,55,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,1
