year,popsize,propmig,He,Ho,meanRRS,k,allele,nSNP,nMicro,sex,maxage,broodsize,sexratio,maturity,years,r0,ratemort
1,61,0.80327868852459,0.467992475141091,0.413114754098361,NA,1000,0,10,100,1,9,2,0.5,1,100,0.1,0.0555555555555556
2,61,0.80327868852459,0.467992475141091,0.413114754098361,NA,1000,0,10,100,1,9,2,0.5,1,100,0.1,0.0555555555555556
3,61,0.80327868852459,0.467992475141091,0.413114754098361,NA,1000,0,10,100,1,9,2,0.5,1,100,0.1,0.0555555555555556
4,61,0.80327868852459,0.467992475141091,0.413114754098361,NA,1000,0,10,100,1,9,2,0.5,1,100,0.1,0.0555555555555556
5,61,0.80327868852459,0.467992475141091,0.413114754098361,NA,1000,0,10,100,1,9,2,0.5,1,100,0.1,0.0555555555555556
6,61,0.80327868852459,0.467992475141091,0.413114754098361,NA,1000,0,10,100,1,9,2,0.5,1,100,0.1,0.0555555555555556
7,61,0.80327868852459,0.467992475141091,0.413114754098361,NA,1000,0,10,100,1,9,2,0.5,1,100,0.1,0.0555555555555556
8,61,0.80327868852459,0.467992475141091,0.413114754098361,NA,1000,0,10,100,1,9,2,0.5,1,100,0.1,0.0555555555555556
9,61,0.80327868852459,0.467992475141091,0.413114754098361,NA,1000,0,10,100,1,9,2,0.5,1,100,0.1,0.0555555555555556
10,61,0.80327868852459,0.467992475141091,0.413114754098361,NA,1000,0,10,100,1,9,2,0.5,1,100,0.1,0.0555555555555556
11,61,0.80327868852459,0.467992475141091,0.413114754098361,NA,1000,0,10,100,1,9,2,0.5,1,100,0.1,0.0555555555555556
12,61,0.80327868852459,0.467992475141091,0.413114754098361,NA,1000,0,10,100,1,9,2,0.5,1,100,0.1,0.0555555555555556
13,61,0.80327868852459,0.467992475141091,0.413114754098361,NA,1000,0,10,100,1,9,2,0.5,1,100,0.1,0.0555555555555556
14,61,0.80327868852459,0.467992475141091,0.413114754098361,NA,1000,0,10,100,1,9,2,0.5,1,100,0.1,0.0555555555555556
15,61,0.80327868852459,0.467992475141091,0.413114754098361,NA,1000,0,10,100,1,9,2,0.5,1,100,0.1,0.0555555555555556
16,61,0.80327868852459,0.467992475141091,0.413114754098361,NA,1000,0,10,100,1,9,2,0.5,1,100,0.1,0.0555555555555556
17,61,0.80327868852459,0.467992475141091,0.413114754098361,NA,1000,0,10,100,1,9,2,0.5,1,100,0.1,0.0555555555555556
18,61,0.80327868852459,0.467992475141091,0.413114754098361,NA,1000,0,10,100,1,9,2,0.5,1,100,0.1,0.0555555555555556
19,61,0.80327868852459,0.467992475141091,0.413114754098361,NA,1000,0,10,100,1,9,2,0.5,1,100,0.1,0.0555555555555556
20,61,0.80327868852459,0.467992475141091,0.413114754098361,NA,1000,0,10,100,1,9,2,0.5,1,100,0.1,0.0555555555555556
21,61,0.80327868852459,0.467992475141091,0.413114754098361,NA,1000,0,10,100,1,9,2,0.5,1,100,0.1,0.0555555555555556
22,61,0.80327868852459,0.467992475141091,0.413114754098361,NA,1000,0,10,100,1,9,2,0.5,1,100,0.1,0.0555555555555556
23,61,0.80327868852459,0.467992475141091,0.413114754098361,NA,1000,0,10,100,1,9,2,0.5,1,100,0.1,0.0555555555555556
24,61,0.80327868852459,0.467992475141091,0.413114754098361,NA,1000,0,10,100,1,9,2,0.5,1,100,0.1,0.0555555555555556
25,61,0.80327868852459,0.467992475141091,0.413114754098361,NA,1000,0,10,100,1,9,2,0.5,1,100,0.1,0.0555555555555556
26,61,0.80327868852459,0.467992475141091,0.413114754098361,NA,1000,0,10,100,1,9,2,0.5,1,100,0.1,0.0555555555555556
27,61,0.80327868852459,0.467992475141091,0.413114754098361,NA,1000,0,10,100,1,9,2,0.5,1,100,0.1,0.0555555555555556
28,61,0.80327868852459,0.467992475141091,0.413114754098361,NA,1000,0,10,100,1,9,2,0.5,1,100,0.1,0.0555555555555556
29,61,0.80327868852459,0.467992475141091,0.413114754098361,NA,1000,0,10,100,1,9,2,0.5,1,100,0.1,0.0555555555555556
