year,popsize,propmig,He,Ho,meanRRS,k,allele,nSNP,nMicro,sex,maxage,broodsize,sexratio,maturity,years,r0,ratemort
1,71,0.816901408450704,0.490071414401904,0.426760563380282,NA,1000,0,10,100,0,9,2,0.5,1,100,0.1,0.0555555555555556
2,71,0.816901408450704,0.490071414401904,0.426760563380282,NA,1000,0,10,100,0,9,2,0.5,1,100,0.1,0.0555555555555556
3,71,0.816901408450704,0.490071414401904,0.426760563380282,NA,1000,0,10,100,0,9,2,0.5,1,100,0.1,0.0555555555555556
4,71,0.816901408450704,0.490071414401904,0.426760563380282,NA,1000,0,10,100,0,9,2,0.5,1,100,0.1,0.0555555555555556
5,71,0.816901408450704,0.490071414401904,0.426760563380282,NA,1000,0,10,100,0,9,2,0.5,1,100,0.1,0.0555555555555556
6,71,0.816901408450704,0.490071414401904,0.426760563380282,NA,1000,0,10,100,0,9,2,0.5,1,100,0.1,0.0555555555555556
7,71,0.816901408450704,0.490071414401904,0.426760563380282,NA,1000,0,10,100,0,9,2,0.5,1,100,0.1,0.0555555555555556
8,71,0.816901408450704,0.490071414401904,0.426760563380282,NA,1000,0,10,100,0,9,2,0.5,1,100,0.1,0.0555555555555556
9,71,0.816901408450704,0.490071414401904,0.426760563380282,NA,1000,0,10,100,0,9,2,0.5,1,100,0.1,0.0555555555555556
10,71,0.816901408450704,0.490071414401904,0.426760563380282,NA,1000,0,10,100,0,9,2,0.5,1,100,0.1,0.0555555555555556
11,71,0.816901408450704,0.490071414401904,0.426760563380282,NA,1000,0,10,100,0,9,2,0.5,1,100,0.1,0.0555555555555556
12,71,0.816901408450704,0.490071414401904,0.426760563380282,NA,1000,0,10,100,0,9,2,0.5,1,100,0.1,0.0555555555555556
13,71,0.816901408450704,0.490071414401904,0.426760563380282,NA,1000,0,10,100,0,9,2,0.5,1,100,0.1,0.0555555555555556
14,71,0.816901408450704,0.490071414401904,0.426760563380282,NA,1000,0,10,100,0,9,2,0.5,1,100,0.1,0.0555555555555556
15,71,0.816901408450704,0.490071414401904,0.426760563380282,NA,1000,0,10,100,0,9,2,0.5,1,100,0.1,0.0555555555555556
16,71,0.816901408450704,0.490071414401904,0.426760563380282,NA,1000,0,10,100,0,9,2,0.5,1,100,0.1,0.0555555555555556
17,71,0.816901408450704,0.490071414401904,0.426760563380282,NA,1000,0,10,100,0,9,2,0.5,1,100,0.1,0.0555555555555556
18,71,0.816901408450704,0.490071414401904,0.426760563380282,NA,1000,0,10,100,0,9,2,0.5,1,100,0.1,0.0555555555555556
19,71,0.816901408450704,0.490071414401904,0.426760563380282,NA,1000,0,10,100,0,9,2,0.5,1,100,0.1,0.0555555555555556
20,71,0.816901408450704,0.490071414401904,0.426760563380282,NA,1000,0,10,100,0,9,2,0.5,1,100,0.1,0.0555555555555556
21,71,0.816901408450704,0.490071414401904,0.426760563380282,NA,1000,0,10,100,0,9,2,0.5,1,100,0.1,0.0555555555555556
22,71,0.816901408450704,0.490071414401904,0.426760563380282,NA,1000,0,10,100,0,9,2,0.5,1,100,0.1,0.0555555555555556
23,71,0.816901408450704,0.490071414401904,0.426760563380282,NA,1000,0,10,100,0,9,2,0.5,1,100,0.1,0.0555555555555556
24,71,0.816901408450704,0.490071414401904,0.426760563380282,NA,1000,0,10,100,0,9,2,0.5,1,100,0.1,0.0555555555555556
25,71,0.816901408450704,0.490071414401904,0.426760563380282,NA,1000,0,10,100,0,9,2,0.5,1,100,0.1,0.0555555555555556
26,71,0.816901408450704,0.490071414401904,0.426760563380282,NA,1000,0,10,100,0,9,2,0.5,1,100,0.1,0.0555555555555556
27,71,0.816901408450704,0.490071414401904,0.426760563380282,NA,1000,0,10,100,0,9,2,0.5,1,100,0.1,0.0555555555555556
28,71,0.816901408450704,0.490071414401904,0.426760563380282,NA,1000,0,10,100,0,9,2,0.5,1,100,0.1,0.0555555555555556
29,71,0.816901408450704,0.490071414401904,0.426760563380282,NA,1000,0,10,100,0,9,2,0.5,1,100,0.1,0.0555555555555556
30,71,0.816901408450704,0.490071414401904,0.426760563380282,NA,1000,0,10,100,0,9,2,0.5,1,100,0.1,0.0555555555555556
31,71,0.816901408450704,0.490071414401904,0.426760563380282,NA,1000,0,10,100,0,9,2,0.5,1,100,0.1,0.0555555555555556
32,71,0.816901408450704,0.490071414401904,0.426760563380282,NA,1000,0,10,100,0,9,2,0.5,1,100,0.1,0.0555555555555556
33,71,0.816901408450704,0.490071414401904,0.426760563380282,NA,1000,0,10,100,0,9,2,0.5,1,100,0.1,0.0555555555555556
34,71,0.816901408450704,0.490071414401904,0.426760563380282,NA,1000,0,10,100,0,9,2,0.5,1,100,0.1,0.0555555555555556
35,71,0.816901408450704,0.490071414401904,0.426760563380282,NA,1000,0,10,100,0,9,2,0.5,1,100,0.1,0.0555555555555556
36,71,0.816901408450704,0.490071414401904,0.426760563380282,NA,1000,0,10,100,0,9,2,0.5,1,100,0.1,0.0555555555555556
37,71,0.816901408450704,0.490071414401904,0.426760563380282,NA,1000,0,10,100,0,9,2,0.5,1,100,0.1,0.0555555555555556
38,71,0.816901408450704,0.490071414401904,0.426760563380282,NA,1000,0,10,100,0,9,2,0.5,1,100,0.1,0.0555555555555556
39,71,0.816901408450704,0.490071414401904,0.426760563380282,NA,1000,0,10,100,0,9,2,0.5,1,100,0.1,0.0555555555555556
40,71,0.816901408450704,0.490071414401904,0.426760563380282,NA,1000,0,10,100,0,9,2,0.5,1,100,0.1,0.0555555555555556
41,71,0.816901408450704,0.490071414401904,0.426760563380282,NA,1000,0,10,100,0,9,2,0.5,1,100,0.1,0.0555555555555556
42,71,0.816901408450704,0.490071414401904,0.426760563380282,NA,1000,0,10,100,0,9,2,0.5,1,100,0.1,0.0555555555555556
43,71,0.816901408450704,0.490071414401904,0.426760563380282,NA,1000,0,10,100,0,9,2,0.5,1,100,0.1,0.0555555555555556
44,71,0.816901408450704,0.490071414401904,0.426760563380282,NA,1000,0,10,100,0,9,2,0.5,1,100,0.1,0.0555555555555556
45,71,0.816901408450704,0.490071414401904,0.426760563380282,NA,1000,0,10,100,0,9,2,0.5,1,100,0.1,0.0555555555555556
46,71,0.816901408450704,0.490071414401904,0.426760563380282,NA,1000,0,10,100,0,9,2,0.5,1,100,0.1,0.0555555555555556
47,71,0.816901408450704,0.490071414401904,0.426760563380282,NA,1000,0,10,100,0,9,2,0.5,1,100,0.1,0.0555555555555556
48,71,0.816901408450704,0.490071414401904,0.426760563380282,NA,1000,0,10,100,0,9,2,0.5,1,100,0.1,0.0555555555555556
49,71,0.816901408450704,0.490071414401904,0.426760563380282,NA,1000,0,10,100,0,9,2,0.5,1,100,0.1,0.0555555555555556
50,71,0.816901408450704,0.490071414401904,0.426760563380282,NA,1000,0,10,100,0,9,2,0.5,1,100,0.1,0.0555555555555556
51,71,0.816901408450704,0.490071414401904,0.426760563380282,NA,1000,0,10,100,0,9,2,0.5,1,100,0.1,0.0555555555555556
52,71,0.816901408450704,0.490071414401904,0.426760563380282,NA,1000,0,10,100,0,9,2,0.5,1,100,0.1,0.0555555555555556
53,71,0.816901408450704,0.490071414401904,0.426760563380282,NA,1000,0,10,100,0,9,2,0.5,1,100,0.1,0.0555555555555556
54,71,0.816901408450704,0.490071414401904,0.426760563380282,NA,1000,0,10,100,0,9,2,0.5,1,100,0.1,0.0555555555555556
55,71,0.816901408450704,0.490071414401904,0.426760563380282,NA,1000,0,10,100,0,9,2,0.5,1,100,0.1,0.0555555555555556
56,71,0.816901408450704,0.490071414401904,0.426760563380282,NA,1000,0,10,100,0,9,2,0.5,1,100,0.1,0.0555555555555556
57,71,0.816901408450704,0.490071414401904,0.426760563380282,NA,1000,0,10,100,0,9,2,0.5,1,100,0.1,0.0555555555555556
58,71,0.816901408450704,0.490071414401904,0.426760563380282,NA,1000,0,10,100,0,9,2,0.5,1,100,0.1,0.0555555555555556
59,71,0.816901408450704,0.490071414401904,0.426760563380282,NA,1000,0,10,100,0,9,2,0.5,1,100,0.1,0.0555555555555556
60,71,0.816901408450704,0.490071414401904,0.426760563380282,NA,1000,0,10,100,0,9,2,0.5,1,100,0.1,0.0555555555555556
61,71,0.816901408450704,0.490071414401904,0.426760563380282,NA,1000,0,10,100,0,9,2,0.5,1,100,0.1,0.0555555555555556
62,71,0.816901408450704,0.490071414401904,0.426760563380282,NA,1000,0,10,100,0,9,2,0.5,1,100,0.1,0.0555555555555556
63,71,0.816901408450704,0.490071414401904,0.426760563380282,NA,1000,0,10,100,0,9,2,0.5,1,100,0.1,0.0555555555555556
64,71,0.816901408450704,0.490071414401904,0.426760563380282,NA,1000,0,10,100,0,9,2,0.5,1,100,0.1,0.0555555555555556
65,71,0.816901408450704,0.490071414401904,0.426760563380282,NA,1000,0,10,100,0,9,2,0.5,1,100,0.1,0.0555555555555556
66,71,0.816901408450704,0.490071414401904,0.426760563380282,NA,1000,0,10,100,0,9,2,0.5,1,100,0.1,0.0555555555555556
67,71,0.816901408450704,0.490071414401904,0.426760563380282,NA,1000,0,10,100,0,9,2,0.5,1,100,0.1,0.0555555555555556
68,71,0.816901408450704,0.490071414401904,0.426760563380282,NA,1000,0,10,100,0,9,2,0.5,1,100,0.1,0.0555555555555556
69,71,0.816901408450704,0.490071414401904,0.426760563380282,NA,1000,0,10,100,0,9,2,0.5,1,100,0.1,0.0555555555555556
70,71,0.816901408450704,0.490071414401904,0.426760563380282,NA,1000,0,10,100,0,9,2,0.5,1,100,0.1,0.0555555555555556
71,71,0.816901408450704,0.490071414401904,0.426760563380282,NA,1000,0,10,100,0,9,2,0.5,1,100,0.1,0.0555555555555556
72,71,0.816901408450704,0.490071414401904,0.426760563380282,NA,1000,0,10,100,0,9,2,0.5,1,100,0.1,0.0555555555555556
73,71,0.816901408450704,0.490071414401904,0.426760563380282,NA,1000,0,10,100,0,9,2,0.5,1,100,0.1,0.0555555555555556
74,71,0.816901408450704,0.490071414401904,0.426760563380282,NA,1000,0,10,100,0,9,2,0.5,1,100,0.1,0.0555555555555556
