year,popsize,propmig,He,Ho,Fis,nadults,sxratio,nmig,Fst,replicate,parameterset,numboff,FstVSource,FisVSource,deltaK,propMigSNPs,Ho_allSNPs,project,group,k,nSNP,miggy,LBhet,LBp,maxage,broodsize,maturity,years,r0,nSNP.mig,nSNP.cons
0,1000,0,0.163129322272727,0.179439,0,256,0.513,0,0,1,1,0,0.363917832107501,-5.13947960485984e-05,1000,0,0.163126363636364,end_9.18.23_LL10,07,1000,1000,0,0.05,0.05,9,2,1,350,1,100,0
1,887,0,0.16304070421964,0.178968022957876,0.000400451203618586,495,0.512965050732807,0,-0.000484082313184931,1,1,23,0.364005228294022,NA,1000,0,0.163089064261556,end_9.18.23_LL10,07,1000,1000,0,0.05,0.05,9,2,1,350,1,100,0
2,809,0,0.162783859549503,0.176206315316328,0.000564232318200872,689,0.508034610630408,0,-0.000398323245550148,1,1,120,0.364126159373715,NA,1000,0,0.162783458815597,end_9.18.23_LL10,07,1000,1000,0,0.05,0.05,9,2,1,350,1,100,0
3,758,0,0.162732141241011,0.172856800191893,0.000319456472955777,591,0.521108179419525,0,-0.000300341838392205,1,1,167,0.36419713500264,NA,1000,0,0.162830414967618,end_9.18.23_LL10,07,1000,1000,0,0.05,0.05,9,2,1,350,1,100,0
4,680,0,0.162842194872601,0.168672860962567,0.000174731294136688,481,0.527941176470588,0,-5.63567333321569e-05,1,1,199,0.36431746522085,NA,1000,0,0.163016042780749,end_9.18.23_LL10,07,1000,1000,0,0.05,0.05,9,2,1,350,1,100,0
5,689,0,0.162342050287528,0.165402427760918,-0.000408324689690284,454,0.51088534107402,0,0.000275225372470568,1,1,235,0.364490146684371,NA,1000,0,0.162745744821217,end_9.18.23_LL10,07,1000,1000,0,0.05,0.05,9,2,1,350,1,100,0
6,685,0,0.162333125705346,0.163746250829463,-0.000866724291409018,447,0.512408759124088,0,0.000567674462170601,1,1,238,0.364659106687907,NA,1000,0,0.162922362309224,end_9.18.23_LL10,07,1000,1000,0,0.05,0.05,9,2,1,350,1,100,0
7,694,0,0.162261098347375,0.162978517160073,-0.000730159603301321,452,0.495677233429395,0,0.000833275576569709,1,1,242,0.364798925131927,NA,1000,0,0.162790149331936,end_9.18.23_LL10,07,1000,1000,0,0.05,0.05,9,2,1,350,1,100,0
8,713,0,0.162284022754409,0.162881550427132,-0.000933181340189066,475,0.497896213183731,0,0.00111462993802337,1,1,238,0.36489420364083,NA,1000,0,0.162881550427132,end_9.18.23_LL10,07,1000,1000,0,0.05,0.05,9,2,1,350,1,100,0
9,710,0,0.162275471136679,0.162761843790013,-0.000644869108044732,477,0.504225352112676,0,0.00146515219324839,1,1,233,0.365058275041289,NA,1000,0,0.162761843790013,end_9.18.23_LL10,07,1000,1000,0,0.05,0.05,9,2,1,350,1,100,0
10,714,0,0.162417516917641,0.162812579577285,-0.000416303153748756,480,0.511204481792717,0,0.00169886117373873,1,1,234,0.365117794301844,NA,1000,0,0.162812579577285,end_9.18.23_LL10,07,1000,1000,0,0.05,0.05,9,2,1,350,1,100,0
11,735,0,0.16259693730306,0.162917748917749,-0.000247101174545991,504,0.507482993197279,0,0.00192159989406366,1,1,231,0.365199009554379,NA,1000,0,0.162917748917749,end_9.18.23_LL10,07,1000,1000,0,0.05,0.05,9,2,1,350,1,100,0
12,726,0,0.16203672370174,0.162191334835963,0.000190459798135395,499,0.480716253443526,0,0.00219710634591935,1,1,227,0.365375397452358,NA,1000,0,0.162191334835963,end_9.18.23_LL10,07,1000,1000,0,0.05,0.05,9,2,1,350,1,100,0
13,712,0,0.162244347770885,0.162302093973442,0.000447518241158929,481,0.478932584269663,0,0.00246398238899539,1,1,231,0.365501261187442,NA,1000,0,0.162302093973442,end_9.18.23_LL10,07,1000,1000,0,0.05,0.05,9,2,1,350,1,100,0
14,714,0,0.162146600173046,0.162284186401833,0.000242153248245454,485,0.49859943977591,0,0.00269475333638684,1,1,229,0.365564395065181,NA,1000,0,0.162284186401833,end_9.18.23_LL10,07,1000,1000,0,0.05,0.05,9,2,1,350,1,100,0
15,724,0,0.162120247259075,0.162380713209443,-8.1348930171943e-05,493,0.494475138121547,0,0.00297413293474607,1,1,231,0.365678489040129,NA,1000,0,0.162380713209443,end_9.18.23_LL10,07,1000,1000,0,0.05,0.05,9,2,1,350,1,100,0
16,727,0,0.162170298903354,0.162452169563586,-0.000139280005843732,497,0.477303988995873,0,0.0032052679242228,1,1,230,0.365773687038298,NA,1000,0,0.162452169563586,end_9.18.23_LL10,07,1000,1000,0,0.05,0.05,9,2,1,350,1,100,0
17,732,0,0.162961414229639,0.163247640337804,-0.000153695859246441,499,0.474043715846995,0,0.00350482581696598,1,1,233,0.365742537608286,NA,1000,0,0.163247640337804,end_9.18.23_LL10,07,1000,1000,0,0.05,0.05,9,2,1,350,1,100,0
18,723,0,0.162868337478537,0.163325789010436,-0.000586238323113427,493,0.468879668049793,0,0.00375711316134587,1,1,230,0.365863033221564,NA,1000,0,0.163325789010436,end_9.18.23_LL10,07,1000,1000,0,0.05,0.05,9,2,1,350,1,100,0
19,722,0,0.16263442942636,0.163136489549232,-0.000700450761845321,487,0.502770083102493,0,0.00404819692057442,1,1,235,0.365972476612433,NA,1000,0,0.163136489549232,end_9.18.23_LL10,07,1000,1000,0,0.05,0.05,9,2,1,350,1,100,0
20,732,0,0.162702200043976,0.162839046199702,0.000233252410035979,499,0.509562841530055,0,0.00426133178550129,1,1,233,0.365986728440432,NA,1000,0,0.162839046199702,end_9.18.23_LL10,07,1000,1000,0,0.05,0.05,9,2,1,350,1,100,0
21,715,0,0.162795387193861,0.163033693579148,-1.55449018569442e-05,482,0.521678321678322,0,0.00455303589383441,1,1,233,0.366100064427162,NA,1000,0,0.163033693579148,end_9.18.23_LL10,07,1000,1000,0,0.05,0.05,9,2,1,350,1,100,0
22,736,0,0.162938393322253,0.163192934782609,-7.50446437662452e-05,508,0.52445652173913,0,0.00507325412916955,1,1,228,0.366328395721178,NA,1000,0,0.163192934782609,end_9.18.23_LL10,07,1000,1000,0,0.05,0.05,9,2,1,350,1,100,0
23,717,0,0.163021276471584,0.163292760238367,-0.000101837173065509,493,0.510460251046025,0,0.00545874518148352,1,1,224,0.366404825083646,NA,1000,0,0.163292760238367,end_9.18.23_LL10,07,1000,1000,0,0.05,0.05,9,2,1,350,1,100,0
24,720,0,0.162853763327722,0.163002525252525,0.000210278971909722,490,0.494444444444444,0,0.00581324587511753,1,1,230,0.366551901545022,NA,1000,0,0.163002525252525,end_9.18.23_LL10,07,1000,1000,0,0.05,0.05,9,2,1,350,1,100,0
25,706,0,0.162510399803312,0.162642286891579,0.000262055164132289,475,0.497167138810198,0,0.00608795276935266,1,1,231,0.366782357589975,NA,1000,0,0.162642286891579,end_9.18.23_LL10,07,1000,1000,0,0.05,0.05,9,2,1,350,1,100,0
26,734,0,0.162416039745434,0.162577408967055,0.000168005006987964,516,0.494550408719346,0,0.0062204359810652,1,1,218,0.36683270149064,NA,1000,0,0.162577408967055,end_9.18.23_LL10,07,1000,1000,0,0.05,0.05,9,2,1,350,1,100,0
27,723,0,0.16214954941888,0.1622783855149,0.000259031054572136,495,0.507607192254495,0,0.00649734156486963,1,1,228,0.367060868498169,NA,1000,0,0.1622783855149,end_9.18.23_LL10,07,1000,1000,0,0.05,0.05,9,2,1,350,1,100,0
28,731,0,0.162237822371019,0.16233677403308,0.000331784000277794,502,0.497948016415869,0,0.00673555325893725,1,1,229,0.367157790056823,NA,1000,0,0.16233677403308,end_9.18.23_LL10,07,1000,1000,0,0.05,0.05,9,2,1,350,1,100,0
29,724,0,0.161907925270069,0.162176042189854,-0.000101470254410862,502,0.49585635359116,0,0.00702440205584469,1,1,222,0.367350932516204,NA,1000,0,0.162176042189854,end_9.18.23_LL10,07,1000,1000,0,0.05,0.05,9,2,1,350,1,100,0
30,727,0,0.1618641103206,0.162158309366012,-0.000171767774114409,497,0.508940852819807,0,0.00726780002890515,1,1,230,0.367460857163948,NA,1000,0,0.162158309366012,end_9.18.23_LL10,07,1000,1000,0,0.05,0.05,9,2,1,350,1,100,0
31,719,0,0.161674644526552,0.162229106081679,-0.00083430971806733,488,0.503477051460362,0,0.00755088125911451,1,1,231,0.367597152343858,NA,1000,0,0.162229106081679,end_9.18.23_LL10,07,1000,1000,0,0.05,0.05,9,2,1,350,1,100,0
32,717,0,0.161743649269078,0.162165588943832,-0.000490602024131799,484,0.478382147838215,0,0.00772816598959727,1,1,233,0.367683248252471,NA,1000,0,0.162165588943832,end_9.18.23_LL10,07,1000,1000,0,0.05,0.05,9,2,1,350,1,100,0
33,726,0,0.161537226130577,0.161814425244177,-0.000127437332321829,494,0.488980716253444,0,0.00791844544772241,1,1,232,0.367839376324481,NA,1000,0,0.161814425244177,end_9.18.23_LL10,07,1000,1000,0,0.05,0.05,9,2,1,350,1,100,0
34,729,0,0.161099512286577,0.161702207257763,-0.000976718815346611,500,0.482853223593964,0,0.00817736255383119,1,1,229,0.367949354443722,NA,1000,0,0.161702207257763,end_9.18.23_LL10,07,1000,1000,0,0.05,0.05,9,2,1,350,1,100,0
35,726,0,0.161427277349687,0.161893313298272,-0.000616697429653884,496,0.49862258953168,0,0.00841185448507992,1,1,230,0.367977531752895,NA,1000,0,0.161893313298272,end_9.18.23_LL10,07,1000,1000,0,0.05,0.05,9,2,1,350,1,100,0
36,718,0,0.161543356415467,0.162172701949861,-0.00102591435253938,484,0.522284122562674,0,0.00892616577413443,1,1,234,0.368206994442196,NA,1000,0,0.162172701949861,end_9.18.23_LL10,07,1000,1000,0,0.05,0.05,9,2,1,350,1,100,0
37,717,0,0.16147439362728,0.162217573221757,-0.0013171750584998,485,0.503486750348675,0,0.00946508387754697,1,1,232,0.368488915880562,NA,1000,0,0.162217573221757,end_9.18.23_LL10,07,1000,1000,0,0.05,0.05,9,2,1,350,1,100,0
