param,mig,HO,HOLL,HOUL,Fis,FisLL,FisUL,numboff,numboffLL,numboffUL,FST,FSTLL,FSTUL,fstsource,fstsourceLL,fstsourceUL,fissource,fissourceLL,fissourceUL,year
6,5,0.43571287,0.42709581,0.445890156,0.37373635,0.362293354,0.384069975,30.84,26,36,0.018696325,0.014151019,0.024293495,0.006070241,0.005048464,0.007366632,0.450193461,0.439001246,0.462381123,200
7,1.5,0.426911971,0.411831396,0.440005104,0.373177546,0.362399017,0.383406899,30.08,24.475,33,0.044133382,0.033583069,0.055853898,0.012217008,0.009644324,0.015353906,0.450365609,0.439127797,0.461448603,200
8,1.5,0.441880239,0.435045183,0.449298891,0.291695758,0.283192427,0.299530289,60.96,53.475,68,0.032285529,0.027225786,0.037965716,0.014871249,0.012646531,0.016957372,0.436537505,0.425520437,0.446946991,200
1,1,0.436953163,0.42924521,0.445476119,0.241122854,0.235350003,0.24718868,45,40,50.525,0.039661292,0.033288743,0.048009186,0.0220231,0.018973766,0.02628911,0.425239237,0.412554146,0.43622672,250
2,1,0.42402376,0.409103143,0.435771118,0.245443389,0.238306807,0.252822573,52.08,47.475,58,0.052376396,0.041470914,0.064190334,0.027906034,0.022784806,0.034443368,0.425898021,0.417419583,0.434598033,250
3,2,0.445725349,0.439153155,0.451293649,0.240754655,0.233307099,0.248059589,43.63,38,49.525,0.026884607,0.021017983,0.032708929,0.014720823,0.011999455,0.017998592,0.424466137,0.412393486,0.436804201,250
4,5,0.452079534,0.446464627,0.456263933,0.24350356,0.23645409,0.253009919,41.91,32.95,49,0.013334333,0.01119127,0.01562432,0.00699017,0.005864706,0.008049353,0.423874569,0.414910256,0.43339665,250
5,2,0.441148548,0.435007938,0.450292612,0.24232498,0.235042141,0.248782084,50.86,46.475,57.05,0.031519549,0.025275407,0.038712084,0.016594053,0.013688013,0.020150394,0.424763616,0.415123127,0.435133761,250
6,5,0.450704886,0.446170693,0.455054767,0.244550602,0.236533052,0.250703724,48.43,40,55.525,0.014139604,0.011962598,0.017087735,0.00721201,0.006168453,0.008615838,0.424444092,0.413333456,0.43609676,250
7,1.5,0.434252034,0.42477138,0.443239453,0.243254242,0.235552443,0.249391022,52.03,45,57,0.040244559,0.033788174,0.048117975,0.021295143,0.017687825,0.025697898,0.42509386,0.414035109,0.435455115,250
8,1.5,0.442420145,0.435703521,0.449518106,0.240693662,0.234311848,0.24801355,44.41,37.475,51,0.03244143,0.027201248,0.038792353,0.017836015,0.014972272,0.02093104,0.424044364,0.413574075,0.434234507,250
