0,500,0,0.469524572,0.252748,0.469533621,129,0.488,0,0.003367993,26,1,0,NA,NA,500,500,9,2,1,250,1,0.055555556,0,0
1,500,0.002,0.469387252,0.265724,0.448594713,282,0.49,1,-0.001366527,26,1,30,0.003168295,0.466635045,500,500,9,2,1,250,1,0.055555556,0,0
2,498,0.004016064,0.469448702,0.278216867,0.435393787,470,0.479919679,1,-0.001277308,26,1,28,0.003203431,0.464446871,500,500,9,2,1,250,1,0.055555556,0,0
3,498,0.008032129,0.469502278,0.290791165,0.422073494,467,0.479919679,0,-0.001178938,26,1,31,0.003251656,0.462232728,500,500,9,2,1,250,1,0.055555556,0,0
4,498,0.010040161,0.469242992,0.304108434,0.407768394,462,0.479919679,1,-0.001087428,26,1,36,0.003299986,0.459857666,500,500,9,2,1,250,1,0.055555556,0,0
5,497,0.012072435,0.46929469,0.315911469,0.395332603,464,0.47082495,1,-0.000973267,26,1,33,0.00332256,0.457801208,500,500,9,2,1,250,1,0.055555556,0,0
6,497,0.012072435,0.469686121,0.329066398,0.381630654,461,0.46277666,0,-0.000838599,26,1,36,0.003392838,0.455521269,500,500,9,2,1,250,1,0.055555556,0,0
7,496,0.008064516,0.469634512,0.34016129,0.369921984,469,0.461693548,1,-0.000738354,26,1,26,0.003446957,0.453591463,500,500,9,2,1,250,1,0.055555556,0,0
8,491,0.012219959,0.469341951,0.365307536,0.343681375,434,0.448065173,0,-0.00050548,26,1,56,0.003617472,0.449330957,500,500,9,2,1,250,1,0.055555556,0,0
9,476,0.014705882,0.468629837,0.407487395,0.301245332,391,0.451680672,1,-5.57E-05,26,1,85,0.003828845,0.442692117,500,500,9,2,1,250,1,0.055555556,0,0
10,436,0.018348624,0.467853674,0.464917431,0.250961096,322,0.470183486,1,0.000732012,26,1,114,0.004155288,0.435752135,500,500,9,2,1,250,1,0.055555556,0,0
11,487,0.016427105,0.467986664,0.465383984,0.237962569,414,0.484599589,0,0.001024891,26,1,73,0.004256372,0.432045098,500,500,9,2,1,250,1,0.055555556,0,0
12,495,0.014141414,0.467773399,0.466323232,0.234928328,460,0.488888889,1,0.001153156,26,1,35,0.004337704,0.431292595,500,500,9,2,1,250,1,0.055555556,0,0
13,495,0.016161616,0.467799037,0.466185859,0.235094918,465,0.494949495,1,0.001355501,26,1,30,0.004397137,0.431319274,500,500,9,2,1,250,1,0.055555556,0,0
14,496,0.012096774,0.467545074,0.467375,0.233392888,461,0.506048387,1,0.00150932,26,1,35,0.004493863,0.431013706,500,500,9,2,1,250,1,0.055555556,0,0
15,497,0.014084507,0.467346117,0.466643863,0.233774961,461,0.521126761,0,0.001623939,26,1,36,0.004512632,0.431051202,500,500,9,2,1,250,1,0.055555556,0,0
16,496,0.012096774,0.467038928,0.466955645,0.233425688,470,0.516129032,1,0.001763642,26,1,26,0.004590662,0.431036797,500,500,9,2,1,250,1,0.055555556,0,0
17,492,0.010162602,0.466642731,0.466569106,0.234450967,439,0.518292683,0,0.002016178,26,1,53,0.004676592,0.431350606,500,500,9,2,1,250,1,0.055555556,0,0
18,481,0.008316008,0.466328456,0.465804574,0.237617906,406,0.498960499,1,0.002406994,26,1,75,0.004836382,0.432237856,500,500,9,2,1,250,1,0.055555556,0,0
19,465,0.010752688,0.46629744,0.464146237,0.243205802,368,0.483870968,0,0.002759411,26,1,97,0.004916333,0.43365676,500,500,9,2,1,250,1,0.055555556,0,0
20,477,0.01048218,0.465618273,0.464259958,0.239629209,392,0.480083857,1,0.003180698,26,1,85,0.005149746,0.43271777,500,500,9,2,1,250,1,0.055555556,0,0
21,492,0.012195122,0.465536941,0.462894309,0.237448606,443,0.473577236,0,0.003376835,26,1,49,0.005240909,0.431882577,500,500,9,2,1,250,1,0.055555556,0,0
22,497,0.016096579,0.465371934,0.462486922,0.236591499,464,0.476861167,0,0.003457462,26,1,33,0.005261697,0.431585959,500,500,9,2,1,250,1,0.055555556,0,0
23,499,0.014028056,0.465196987,0.462745491,0.235713357,461,0.466933868,0,0.003729245,26,1,38,0.005384924,0.431382203,500,500,9,2,1,250,1,0.055555556,0,0
24,496,0.014112903,0.464943829,0.462165323,0.236815792,463,0.473790323,1,0.003800645,26,1,33,0.005434666,0.431669953,500,500,9,2,1,250,1,0.055555556,0,0
25,500,0.018,0.465198612,0.461492,0.236825809,472,0.47,0,0.003662457,26,1,28,0.005353687,0.431534298,500,500,9,2,1,250,1,0.055555556,0,0
26,495,0.016161616,0.465416672,0.462973737,0.236570857,445,0.474747475,0,0.003827407,26,1,49,0.005421741,0.43164541,500,500,9,2,1,250,1,0.055555556,0,0
27,487,0.01026694,0.465014513,0.464825462,0.236158702,417,0.503080082,0,0.004236638,26,1,70,0.005636698,0.431849537,500,500,9,2,1,250,1,0.055555556,0,0
28,476,0.010504202,0.464844939,0.466567227,0.236849393,390,0.542016807,1,0.004655638,26,1,86,0.005780949,0.432323688,500,500,9,2,1,250,1,0.055555556,0,0
29,477,0.01048218,0.464842086,0.465194969,0.238035483,390,0.547169811,0,0.004840973,26,1,86,0.005883116,0.432484247,500,500,9,2,1,250,1,0.055555556,0,0
30,491,0.012219959,0.464696214,0.465010183,0.234757967,429,0.556008147,1,0.004994559,26,1,62,0.005989665,0.431500806,500,500,9,2,1,250,1,0.055555556,0,0
31,496,0.012096774,0.464821264,0.464629032,0.234091061,458,0.558467742,1,0.005029928,26,1,38,0.005996843,0.431224114,500,500,9,2,1,250,1,0.055555556,0,0
