year,mean,LQ,UQ,NA
0,0.17811415,0.17614264,0.18037688,NA
1,0.17780546785,0.17567502904,0.17990442292,NA
2,0.17565454251,0.17329896816,0.17794561692,NA
3,0.17248250644,0.17014072248,0.17479630612,NA
4,0.1689091864,0.1664773236,0.1713493474,NA
5,0.16606516474,0.16380756332,0.16822832384,NA
6,0.16470063219,0.16243889692,0.16699149376,NA
7,0.16446775872,0.16238206968,0.16686867768,NA
8,0.1647850256,0.16261632908,0.16716946744,NA
9,0.1652216282,0.16285305636,0.167616347,NA
10,0.16570557927,0.16322718948,0.1682379436,NA
11,0.16619361066,0.16383460408,0.16861561972,NA
12,0.16660985593,0.1641849802,0.16899973508,NA
13,0.16703658369,0.16430717872,0.1696267126,NA
14,0.16745141197,0.1649789792,0.17010429976,NA
15,0.16788831318,0.16536792504,0.17036868956,NA
16,0.16833604006,0.16542705788,0.17107558308,NA
17,0.1687481757,0.16596852164,0.17150952392,NA
18,0.1691494328,0.16652317336,0.17189761056,NA
19,0.16954577711,0.1669288858,0.17227694988,NA
20,0.1700084256,0.16723601148,0.1725756138,NA
21,0.17041095574,0.16770654292,0.1728126124,NA
22,0.17084938609,0.16818687996,0.17319024584,NA
23,0.17128969813,0.168671169,0.17379891452,NA
24,0.17173072486,0.16897831904,0.17424823748,NA
25,0.17219242111,0.16950300428,0.1748699292,NA
26,0.17255393417,0.1699149924,0.1750500872,NA
27,0.17296458492,0.17008590316,0.1756575054,NA
28,0.17334708229,0.1704581626,0.17606790236,NA
29,0.17376904664,0.17098650024,0.17674403936,NA
30,0.17413883781,0.17127704416,0.17690662312,NA
31,0.17456974091,0.17145085376,0.17746723084,NA
32,0.1749057214,0.17188757496,0.17788925132,NA
33,0.17530078568,0.17198243784,0.17812446748,NA
34,0.17576439466,0.172565474,0.1788706762,NA
35,0.17624368443,0.17274654268,0.17926440772,NA
36,0.17666494626,0.17311250844,0.17981265528,NA
37,0.17713348963,0.17379868616,0.18022068964,NA
38,0.17752753931,0.17401441928,0.18088788812,NA
39,0.17789103602,0.17422603144,0.18104687996,NA
40,0.17829798737,0.1750025522,0.18147835072,NA
41,0.17870024751,0.17551199408,0.18199620028,NA
42,0.17915762554,0.17566241872,0.18225342844,NA
43,0.17958991947,0.17610015736,0.1828018592,NA
44,0.18000752796,0.17680071684,0.18325380724,NA
45,0.18041973442,0.17718673164,0.1835071012,NA
46,0.18082990658,0.17769954948,0.18415669948,NA
47,0.18122237474,0.17801550892,0.1845863678,NA
48,0.18166751142,0.17827760652,0.18522346872,NA
49,0.18209933283,0.17862232676,0.18542359932,NA
50,0.18251050226,0.17896255636,0.18607363564,NA
51,0.18281087192,0.17934028852,0.18628268972,NA
52,0.18320710192,0.18006682268,0.18656475632,NA
53,0.18356918514,0.1803333658,0.18691175744,NA
54,0.18396889774,0.18099875304,0.18748716972,NA
55,0.18434646578,0.18119598404,0.18786641524,NA
56,0.1847299757,0.18149652004,0.18814983032,NA
57,0.18509426834,0.18176729736,0.18862831508,NA
58,0.18551634154,0.1822658844,0.18913344684,NA
59,0.18590004228,0.18255640844,0.18951865016,NA
60,0.18628238014,0.18300018432,0.19023479696,NA
61,0.18666567382,0.18363670624,0.19051583516,NA
62,0.18705338078,0.1838257066,0.19071832924,NA
63,0.18741880651,0.18409959468,0.19117085864,NA
64,0.1877746588,0.18451769868,0.1916960686,NA
65,0.1882376809,0.18438769732,0.19236671648,NA
66,0.18865581558,0.18518120548,0.19231398332,NA
67,0.18909559858,0.1854961268,0.19285588936,NA
68,0.18944213503,0.18555455396,0.19355635672,NA
69,0.18981985435,0.1864162528,0.19384811184,NA
