year,CR,EN,VU
179,0.775710378651358,0.999770950674554,1.09401859805542
180,0.777544434456121,1.00090005803246,1.0951646065373
181,0.779291591697039,1.00225495091581,1.0961254966216
182,0.781171150844875,1.00358348883008,1.09736204301926
183,0.783098315152581,1.00495365808208,1.09837946850939
184,0.785072431478652,1.00619738729419,1.09947734489944
185,0.786745772490404,1.00737749054578,1.10060375015909
186,0.78867010316545,1.0083524480047,1.10167258068861
187,0.790295787806841,1.00970554445784,1.10308304907886
188,0.792246644773412,1.01111582196429,1.1041333390508
189,0.793883971514518,1.01240989982878,1.10550883790495
190,0.795806759314957,1.01361939215206,1.10654591487447
191,0.797860613482414,1.01484643965628,1.10765670447701
192,0.799667827685961,1.01576823975846,1.10860550925247
193,0.801411198324249,1.01686568032912,1.10956187568805
194,0.803515650688372,1.01801542193618,1.11088045377976
195,0.80530593669738,1.01944460328424,1.11226928544721
196,0.807074104628029,1.02060015005879,1.11327289178648
197,0.808769328569705,1.02190286570367,1.11417400250672
198,0.810378556887788,1.02317804823712,1.11545778876428
199,0.812193765307192,1.02419549037102,1.1163732665862
200,0.813949210950971,1.02546090396529,1.11725031931798
201,0.815114134020976,1.02620149440215,1.11815112924111
202,0.816930650603875,1.02756244136495,1.11923196415459
203,0.818585356025668,1.02856346399519,1.11992668540532
204,0.820573145903021,1.02976219427581,1.12121158240953
205,0.822316864606474,1.03112152010841,1.12216252127239
206,0.823831521402138,1.03209836055081,1.12293074807076
207,0.825357347070585,1.03319551720215,1.12386694590465
208,0.827218461607301,1.03406945952635,1.1248418529854
209,0.82914075330883,1.03524887697591,1.12592551103017
210,0.830690658491834,1.03610993940005,1.1264552904111
211,0.832022756355089,1.03741236695807,1.12741907377912
212,0.8335620926721,1.0385043136986,1.12832833864527
213,0.835014984803589,1.0396219335105,1.12932353089808
214,0.836609492051243,1.04083257120608,1.13021362033163
215,0.838216864065515,1.04156944739738,1.13167298903087
216,0.839897972891144,1.04249727021277,1.13280276458442
217,0.841271820119119,1.04335432754075,1.13353865589051
218,0.842680796563989,1.04453536647145,1.1344527507201
219,0.844344555659697,1.04539948243212,1.13517769763566
220,0.845813354793406,1.04643829361874,1.13584270543933
221,0.84734623364665,1.0473645715919,1.13673394100226
222,0.848916249071874,1.04864516412206,1.13750344819177
223,0.850521761546145,1.04982524434249,1.138296076778
224,0.851977534103826,1.05099132131273,1.13920010858894
225,0.853562313544571,1.05191959724967,1.14001462906536
226,0.854894973542469,1.05279930289046,1.14050744136164
227,0.856267041129308,1.05377094838135,1.14138250044223
228,0.857882347052631,1.05442839577316,1.14227910717569
