year,CR,EN,VU
0,NA,NA,NA
1,NA,NA,NA
2,NA,NA,NA
3,NA,NA,NA
4,NA,NA,NA
5,NA,NA,NA
6,NA,NA,NA
7,NA,NA,NA
8,NA,NA,NA
9,NA,NA,NA
10,NA,NA,NA
11,NA,NA,NA
12,NA,NA,NA
13,NA,NA,NA
14,NA,NA,NA
15,NA,NA,NA
16,NA,NA,NA
17,NA,NA,NA
18,NA,NA,NA
19,NA,NA,NA
20,NA,NA,NA
21,NA,NA,NA
22,NA,NA,NA
23,NA,NA,NA
24,NA,NA,NA
25,NA,NA,NA
26,NA,NA,NA
27,NA,NA,NA
28,NA,NA,NA
29,NA,NA,NA
30,NA,NA,NA
31,NA,NA,NA
32,NA,NA,NA
33,NA,NA,NA
34,NA,NA,NA
35,NA,NA,NA
36,NA,NA,NA
37,NA,NA,NA
38,NA,NA,NA
39,NA,NA,NA
40,NA,NA,NA
41,NA,NA,NA
42,NA,NA,NA
43,NA,NA,NA
44,NA,NA,NA
45,NA,NA,NA
46,NA,NA,NA
47,NA,NA,NA
48,NA,NA,NA
49,NA,NA,NA
50,NA,NA,NA
51,NA,NA,NA
52,NA,NA,NA
53,NA,NA,NA
54,NA,NA,NA
55,NA,NA,NA
56,NA,NA,NA
57,NA,NA,NA
58,NA,NA,NA
59,NA,NA,NA
60,NA,NA,NA
61,NA,NA,NA
62,NA,NA,NA
63,NA,NA,NA
64,NA,NA,NA
65,NA,NA,NA
66,NA,NA,NA
67,NA,NA,NA
68,NA,NA,NA
69,NA,NA,NA
70,NA,NA,NA
71,NA,NA,NA
72,NA,NA,NA
73,NA,NA,NA
74,NA,NA,NA
75,NA,NA,NA
76,NA,NA,NA
77,NA,NA,NA
78,NA,NA,NA
79,NA,NA,NA
80,NA,NA,NA
81,NA,NA,NA
82,NA,NA,NA
83,NA,NA,NA
84,NA,NA,NA
85,NA,NA,NA
86,NA,NA,NA
87,NA,NA,NA
88,NA,NA,NA
89,NA,NA,NA
90,NA,NA,NA
91,NA,NA,NA
92,NA,NA,NA
93,NA,NA,NA
94,NA,NA,NA
95,NA,NA,NA
96,NA,NA,NA
97,NA,NA,NA
98,1,1,1
99,1.00163724085197,1.00175290941304,1.00174229435446
100,1.00300930660302,1.00357444408869,1.00386647101333
101,1.00397202217065,1.00483040901851,1.00554130042867
102,1.00555532045913,1.00685636346293,1.00731965771622
103,1.00726166868514,1.0081942615867,1.00933540827014
104,1.00869555411825,1.00971500861877,1.01101907689834
105,1.00985963686284,1.01090368367068,1.01231064361636
106,1.01128140536781,1.01207482600297,1.01409259006513
107,1.01279392396143,1.01340405611499,1.01540625344372
108,1.01316942088845,1.01483253907799,1.01700597595866
109,1.0142700447642,1.01583362367069,1.01889926181623
110,1.01443101955258,1.01664270771162,1.02008953411852
111,1.01584111808961,1.01769090167589,1.02122785193691
112,1.01220578091109,1.0185982794627,1.0224222875126
113,1.00771224275184,1.01877383131243,1.02375570915809
114,1.00300436843371,1.01862749361471,1.02471788271658
115,0.995616010655722,1.01811960906545,1.02562606579018
116,0.986708175437474,1.01710209795747,1.02678465848168
117,0.978299861743455,1.01565017467501,1.02756683069005
118,0.968148435512224,1.01542208620234,1.02885090811445
119,0.958732754042254,1.01392001828912,1.02942302783352
120,0.951357466594418,1.01163823345627,1.03006179808134
121,0.943531540408623,1.00948037037367,1.03104362746329
122,0.934429837134488,1.00859703284447,1.03192940081038
123,0.925377306141521,1.00698984119306,1.03257277009027
124,0.918200568481404,1.00500225717051,1.03354280321506
125,0.907923831811242,1.00470347847402,1.03370052865353
126,0.900695387111477,1.00279954532901,1.03401941328089
127,0.889771924431829,1.00201476639401,1.03452626715338
128,0.884380899022378,1.00136515511439,1.0342392775972
129,0.877409893224575,0.999124466193553,1.03486571752539
130,0.86823789608425,0.997008834627252,1.03656857434819
131,0.859541653914911,0.993755902612485,1.03753271682566
132,0.850799306862505,0.991177949759253,1.03741389834763
133,0.843547493890703,0.990059144369,1.03818944689446
134,0.833746883310373,0.988566810079039,1.03881502273668
