year,mean,LQ,UQ,NA
0,0.17787319,0.17583316,0.17991348,NA
1,0.1776899341,0.17554370496,0.17979329312,NA
2,0.17575046418,0.17354947984,0.1781584452,NA
3,0.17294531602,0.17043981552,0.17512235552,NA
4,0.16984265161,0.16751859332,0.17229241948,NA
5,0.16749140634,0.16467368148,0.17011463512,NA
6,0.1666006063,0.16401826284,0.169493732,NA
7,0.16679684642,0.1641265764,0.16953433996,NA
8,0.16758057121,0.16469262444,0.17038870024,NA
9,0.16853891625,0.1653291682,0.17192389224,NA
10,0.16956336966,0.16637147676,0.17300883088,NA
11,0.17048140428,0.16734184748,0.17373213396,NA
12,0.17133003562,0.16830757172,0.17420951428,NA
13,0.17216215433,0.16892915816,0.17543627244,NA
14,0.17303700941,0.16971048912,0.1765276558,NA
15,0.17391064545,0.17035390824,0.17717295404,NA
16,0.17481023397,0.17126327708,0.17821144556,NA
17,0.17565047385,0.1719660052,0.17911648792,NA
18,0.17644259177,0.17281181004,0.17974854696,NA
19,0.17729473941,0.17356492976,0.1812146792,NA
20,0.17813672353,0.17385580636,0.18240866676,NA
21,0.1789519192,0.17496893268,0.18293991148,NA
22,0.17979268089,0.17561476148,0.18366648532,NA
23,0.18056773949,0.17635617804,0.18417027416,NA
24,0.18139743354,0.17738484652,0.18537341212,NA
25,0.1821737825,0.17789770248,0.18612827732,NA
26,0.18289630133,0.17865824916,0.18704003564,NA
27,0.18375887316,0.179350234,0.18800230752,NA
28,0.18454207268,0.18013500484,0.18917809044,NA
29,0.18531075291,0.18078410928,0.18965625212,NA
30,0.18604999962,0.1816965266,0.19036573096,NA
31,0.18678715328,0.18238793572,0.19129294236,NA
32,0.18756411896,0.18319004784,0.19234599028,NA
33,0.18836324975,0.18376920032,0.19349008088,NA
34,0.18908453315,0.18475486904,0.19387922108,NA
35,0.18975438479,0.185564278,0.19453986624,NA
36,0.19053064996,0.18631036724,0.19546426744,NA
37,0.19131273751,0.18693925072,0.19629291136,NA
38,0.19210641017,0.18787394568,0.19724644168,NA
39,0.19291491165,0.18858742708,0.1981813134,NA
40,0.19355533353,0.18948617432,0.19866391956,NA
41,0.19431707837,0.190291572,0.19920742404,NA
42,0.19509196326,0.19095150948,0.20003190296,NA
43,0.19582149628,0.19163098192,0.20115358172,NA
44,0.19655958444,0.19216433348,0.20173023056,NA
45,0.19724561977,0.1933761318,0.20245310388,NA
46,0.1979146063,0.19367680992,0.20282776604,NA
47,0.19864566689,0.19378763328,0.20375874932,NA
48,0.19932418822,0.19445737316,0.20463879748,NA
49,0.2000084987,0.1952698742,0.20544838192,NA
50,0.20067506244,0.19584472104,0.2059884166,NA
51,0.20119868439,0.19623417504,0.20628610392,NA
52,0.20192052681,0.19720886764,0.20734064604,NA
53,0.20263334617,0.1979101604,0.20857519368,NA
54,0.20330635447,0.19900374236,0.2085561748,NA
55,0.2040380288,0.19942448644,0.20930803136,NA
56,0.2046387213,0.2001692594,0.21017300764,NA
57,0.20526860028,0.20061777576,0.211067731,NA
58,0.20588357492,0.2012538934,0.21145689256,NA
59,0.2064911965,0.20165197972,0.21205904244,NA
60,0.20716053686,0.20263924328,0.21286689196,NA
61,0.20779448971,0.20291526008,0.2136031732,NA
62,0.20843569869,0.20341602164,0.21463332484,NA
63,0.20902736549,0.20388347068,0.21472216776,NA
64,0.20961719424,0.20473471212,0.21530836812,NA
65,0.21014344351,0.20542097672,0.21565195576,NA
66,0.21072700118,0.206034703,0.21623322524,NA
67,0.21129922741,0.20631771944,0.21666919668,NA
68,0.21193379779,0.20719656904,0.21730256312,NA
69,0.21253747226,0.20756033056,0.21786509932,NA
70,0.21312915025,0.20819819404,0.21832881816,NA
71,0.21374357128,0.20906659908,0.21923544008,NA
72,0.21432471241,0.20931427848,0.21981510976,NA
73,0.21492097806,0.20976129568,0.22040060848,NA
74,0.21553477869,0.2106912072,0.22058701412,NA
75,0.21614305205,0.21155504184,0.221348706,NA
76,0.2166914158,0.21208046232,0.22209224072,NA
77,0.21728919553,0.21270579932,0.22242317936,NA
78,0.21794632716,0.21320337476,0.22282098888,NA
79,0.21854138928,0.2136897684,0.22357213148,NA
80,0.21908357151,0.21425615896,0.22397865924,NA
81,0.21959210573,0.21467234504,0.2248595064,NA
82,0.22018098896,0.2153545372,0.22508174352,NA
83,0.2206643827,0.21566786012,0.22530738088,NA
84,0.22121593965,0.21586342156,0.22587334668,NA
85,0.22177950876,0.21639619884,0.22671702368,NA
86,0.2222700362,0.21705406972,0.22717709084,NA
87,0.22281730397,0.2176267274,0.22723859912,NA
88,0.22335547078,0.2181640902,0.22759549064,NA
89,0.22389914363,0.21847508744,0.22820131304,NA
90,0.22436307509,0.2190087694,0.22874910012,NA
91,0.22486674199,0.22000462136,0.22899828644,NA
92,0.22534728643,0.22005139532,0.22951695288,NA
93,0.22592891448,0.22121375232,0.2301118904,NA
94,0.22647004557,0.22165420588,0.23098135564,NA
95,0.22696531874,0.22201269708,0.23095786076,NA
96,0.22745227992,0.22288732928,0.2316171444,NA
97,0.22788609021,0.22332336616,0.23213026004,NA
98,0.2283599067,0.22374496428,0.2326966774,NA
99,0.22879976468,0.22425182244,0.2330363482,NA
100,0.22925005462,0.2248756122,0.23362979964,NA
101,0.22968191853,0.22533222136,0.23386071548,NA
102,0.23016624275,0.22584656192,0.23428830396,NA
103,0.23063870634,0.22653763004,0.2347562918,NA
104,0.23099730813,0.22675395388,0.23518875248,NA
105,0.23147898508,0.22742291296,0.23596675516,NA
106,0.23194977671,0.22764806728,0.23638021252,NA
107,0.23243478177,0.22818332132,0.23699140504,NA
108,0.23295216127,0.22832956496,0.23737621844,NA
109,0.23338177476,0.22919228268,0.23749497544,NA
110,0.23374724503,0.22950100488,0.23831712016,NA
111,0.23412987539,0.23009071892,0.23862335884,NA
112,0.23457958502,0.2306397664,0.23895788204,NA
113,0.23506393637,0.23115435516,0.2393581466,NA
114,0.23553324533,0.23119835224,0.23979599164,NA
115,0.2358594554,0.23123614744,0.24026662792,NA
116,0.23623549198,0.23178057704,0.24083819796,NA
117,0.23659222017,0.2325747668,0.2409590782,NA
118,0.23692997276,0.23254087608,0.24081302588,NA
119,0.23729751052,0.23340026748,0.24097079368,NA
120,0.23760486841,0.2337071932,0.2417959888,NA
121,0.23783387133,0.23419432968,0.2416456174,NA
122,0.23821169462,0.23457227152,0.24221271012,NA
123,0.23849279505,0.23485893148,0.24299785924,NA
124,0.23871385632,0.23473867376,0.2431600022,NA
125,0.23887203371,0.23454799324,0.24333428024,NA
126,0.23901367989,0.2352474212,0.24327279056,NA
127,0.23935326841,0.2351139366,0.24337778764,NA
128,0.23963969804,0.23565805824,0.2438425516,NA
129,0.23985072612,0.23603892964,0.24439096608,NA
130,0.24005007152,0.23577698276,0.244697737,NA
131,0.24031632262,0.23607116064,0.2450334196,NA
132,0.24050613026,0.23625045312,0.24545690696,NA
133,0.24060694752,0.23652561564,0.24540371292,NA
134,0.24081374453,0.23634807636,0.246162216,NA
135,0.2409578977,0.2365624118,0.24569118788,NA
136,0.24106181191,0.23686086024,0.24554563852,NA
137,0.24121880473,0.23700413368,0.2454540192,NA
138,0.24122531006,0.23730543228,0.24582114964,NA
139,0.24132981994,0.23674432656,0.24610880016,NA
140,0.24142006275,0.23749706096,0.2462370566,NA
141,0.24162926347,0.23714774712,0.24642313104,NA
142,0.24177570739,0.23717871992,0.24712724616,NA
143,0.2418614798,0.23692051476,0.24653362284,NA
144,0.24193370528,0.23725631288,0.24677969444,NA
145,0.24198964253,0.23828293092,0.24736564416,NA
146,0.24204016485,0.23736580356,0.24709750488,NA
147,0.24215400189,0.23677596596,0.247322437,NA
148,0.24206332025,0.2372636296,0.2467453344,NA
149,0.2422470576,0.23749581132,0.24682933088,NA
150,0.24219454569,0.237619084,0.24687656936,NA
151,0.24223520776,0.2370087694,0.24687501076,NA
152,0.24238139088,0.23740736796,0.24697411628,NA
153,0.24261804477,0.23791330968,0.24684719528,NA
154,0.24280638395,0.2384415618,0.2474092874,NA
155,0.24309785141,0.23894762132,0.24777867288,NA
156,0.24330266601,0.2389413684,0.24817540196,NA
157,0.24356006459,0.23907653576,0.24854308044,NA
158,0.24382070152,0.23947685856,0.24836169612,NA
159,0.24402968761,0.23942189492,0.24844366644,NA
160,0.24435893393,0.23978267344,0.24861515076,NA
161,0.24466435078,0.23973195792,0.24919991784,NA
162,0.24500814086,0.24003709964,0.24967505348,NA
163,0.24529443978,0.24036058752,0.24987421756,NA
164,0.24556986858,0.2404530868,0.25009855792,NA
165,0.24580745678,0.24031044112,0.25033347708,NA
166,0.24609501153,0.2409009178,0.25081417736,NA
167,0.24635943891,0.24086764996,0.2507775208,NA
168,0.24668067256,0.24114729228,0.25165725416,NA
169,0.24700799191,0.24137767548,0.25124450652,NA
170,0.24730275283,0.24171302968,0.25186559928,NA
171,0.24759375043,0.24205624964,0.25188319464,NA
172,0.24789761309,0.24275918692,0.25277002912,NA
173,0.24819116421,0.243148617,0.25371933004,NA
174,0.24849767491,0.24355966844,0.25403786244,NA
175,0.24874937443,0.24372274284,0.25380143004,NA
176,0.24896490571,0.24377074696,0.2537223046,NA
177,0.24926889982,0.24404549612,0.25420103772,NA
178,0.24955748277,0.24429286884,0.25449826788,NA
179,0.24982998498,0.24462734888,0.25488661976,NA
180,0.25009168737,0.24488585832,0.25535830428,NA
181,0.25031111614,0.245093992,0.2554765024,NA
182,0.25059349376,0.24535900712,0.25589704972,NA
183,0.25082583295,0.24588313684,0.25620716844,NA
184,0.2510765439,0.24584676068,0.25623758288,NA
185,0.2513337697,0.24577976032,0.25660568856,NA
186,0.25157784774,0.24619402276,0.25708027524,NA
187,0.25189994217,0.24621449004,0.2571122076,NA
188,0.25213978629,0.24631434024,0.25744866708,NA
189,0.25245389508,0.24685476344,0.25759308452,NA
190,0.25269072188,0.24758878712,0.25753262144,NA
191,0.25294438169,0.24735168664,0.25794338148,NA
192,0.25316105066,0.24757254272,0.25818870308,NA
193,0.25337944641,0.24776059188,0.25812833424,NA
194,0.25368055678,0.24783950416,0.25877689944,NA
195,0.25399771025,0.24883881852,0.25903188832,NA
196,0.2542268937,0.24910817196,0.25955072356,NA
197,0.25443267126,0.24911776544,0.25980844048,NA
198,0.25472583657,0.24943739812,0.2601235262,NA
199,0.254934895,0.24952855516,0.26026716288,NA
