year,EN_0,EN_a,EN_b,EN_c,NA,NA
0,NA,NA,NA,NA,NA,NA
1,NA,NA,NA,NA,NA,NA
2,NA,NA,NA,NA,NA,NA
3,NA,NA,NA,NA,NA,NA
4,NA,NA,NA,NA,NA,NA
5,NA,NA,NA,NA,NA,NA
6,NA,NA,NA,NA,NA,NA
7,NA,NA,NA,NA,NA,NA
8,NA,NA,NA,NA,NA,NA
9,NA,NA,NA,NA,NA,NA
10,NA,NA,NA,NA,NA,NA
11,NA,NA,NA,NA,NA,NA
12,NA,NA,NA,NA,NA,NA
13,NA,NA,NA,NA,NA,NA
14,NA,NA,NA,NA,NA,NA
15,NA,NA,NA,NA,NA,NA
16,NA,NA,NA,NA,NA,NA
17,NA,NA,NA,NA,NA,NA
18,NA,NA,NA,NA,NA,NA
19,NA,NA,NA,NA,NA,NA
20,NA,NA,NA,NA,NA,NA
21,NA,NA,NA,NA,NA,NA
22,NA,NA,NA,NA,NA,NA
23,NA,NA,NA,NA,NA,NA
24,NA,NA,NA,NA,NA,NA
25,NA,NA,NA,NA,NA,NA
26,NA,NA,NA,NA,NA,NA
27,NA,NA,NA,NA,NA,NA
28,NA,NA,NA,NA,NA,NA
29,NA,NA,NA,NA,NA,NA
30,NA,NA,NA,NA,NA,NA
31,NA,NA,NA,NA,NA,NA
32,NA,NA,NA,NA,NA,NA
33,NA,NA,NA,NA,NA,NA
34,NA,NA,NA,NA,NA,NA
35,NA,NA,NA,NA,NA,NA
36,NA,NA,NA,NA,NA,NA
37,NA,NA,NA,NA,NA,NA
38,NA,NA,NA,NA,NA,NA
39,NA,NA,NA,NA,NA,NA
40,NA,NA,NA,NA,NA,NA
41,NA,NA,NA,NA,NA,NA
42,NA,NA,NA,NA,NA,NA
43,NA,NA,NA,NA,NA,NA
44,NA,NA,NA,NA,NA,NA
45,NA,NA,NA,NA,NA,NA
46,NA,NA,NA,NA,NA,NA
47,NA,NA,NA,NA,NA,NA
48,NA,NA,NA,NA,NA,NA
49,NA,NA,NA,NA,NA,NA
50,NA,NA,NA,NA,NA,NA
51,NA,NA,NA,NA,NA,NA
52,NA,NA,NA,NA,NA,NA
53,NA,NA,NA,NA,NA,NA
54,NA,NA,NA,NA,NA,NA
55,NA,NA,NA,NA,NA,NA
56,NA,NA,NA,NA,NA,NA
57,NA,NA,NA,NA,NA,NA
58,NA,NA,NA,NA,NA,NA
59,NA,NA,NA,NA,NA,NA
60,NA,NA,NA,NA,NA,NA
61,NA,NA,NA,NA,NA,NA
62,NA,NA,NA,NA,NA,NA
63,NA,NA,NA,NA,NA,NA
64,NA,NA,NA,NA,NA,NA
65,NA,NA,NA,NA,NA,NA
66,NA,NA,NA,NA,NA,NA
67,NA,NA,NA,NA,NA,NA
68,NA,NA,NA,NA,NA,NA
69,NA,NA,NA,NA,NA,NA
70,NA,NA,NA,NA,NA,NA
71,NA,NA,NA,NA,NA,NA
72,NA,NA,NA,NA,NA,NA
73,NA,NA,NA,NA,NA,NA
74,NA,NA,NA,NA,NA,NA
75,NA,NA,NA,NA,NA,NA
76,NA,NA,NA,NA,NA,NA
77,NA,NA,NA,NA,NA,NA
78,NA,NA,NA,NA,NA,NA
79,NA,NA,NA,NA,NA,NA
80,NA,NA,NA,NA,NA,NA
81,NA,NA,NA,NA,NA,NA
82,NA,NA,NA,NA,NA,NA
83,NA,NA,NA,NA,NA,NA
84,NA,NA,NA,NA,NA,NA
85,NA,NA,NA,NA,NA,NA
86,NA,NA,NA,NA,NA,NA
87,NA,NA,NA,NA,NA,NA
88,NA,NA,NA,NA,NA,NA
89,NA,NA,NA,NA,NA,NA
90,NA,NA,NA,NA,NA,NA
91,NA,NA,NA,NA,NA,NA
92,NA,NA,NA,NA,NA,NA
93,NA,NA,NA,NA,NA,NA
94,NA,NA,NA,NA,NA,NA
95,NA,NA,NA,NA,NA,NA
96,NA,NA,NA,NA,NA,NA
97,NA,NA,NA,NA,NA,NA
98,1,1,1,1,NA,NA
99,1.00168609162303,1.00198381142812,1.00175290941304,1.00200540297138,NA,NA
100,1.00343024095173,1.00369712052003,1.00357444408869,1.00362543262276,NA,NA
101,1.00450468422377,1.0056078489561,1.00483040901851,1.00477085287706,NA,NA
102,1.0061502922313,1.0081202397697,1.00685636346293,1.00655216253337,NA,NA
103,1.00810971428071,1.01035540652731,1.0081942615867,1.00824954159247,NA,NA
104,1.0099038407541,1.01229860108531,1.00971500861877,1.0094907684559,NA,NA
105,1.01153980275028,1.01389999617284,1.01090368367068,1.01095636159523,NA,NA
106,1.01280246269639,1.01607772322627,1.01207482600297,1.01218353588175,NA,NA
107,1.01383446953829,1.01833255398525,1.01340405611499,1.01347564322014,NA,NA
108,1.01494487793744,1.02108834319279,1.01483253907799,1.01416941919116,NA,NA
109,1.01560546690213,1.02319695278063,1.01583362367069,1.01553136839412,NA,NA
