2773,2031,2491,7,1,NA,NA,0,18,25,0.425,0.1,1,0,0,2,0,1
2962,2533,1937,7,0,NA,NA,0,18,25,0.358333333333333,0.1,0,0,0,2,0,1
3107,2673,2620,6,1,NA,NA,0,19,25,0.416666666666667,0.15,1,0,0,3,0,1
3118,2689,2637,6,1,NA,NA,0,19,25,0.4,0.1,0,0,0,2,0,1
3163,2376,2762,6,1,NA,NA,0,19,25,0.441666666666667,0.15,0,0,0,3,0,1
3222,2310,2983,6,1,NA,NA,0,19,25,0.325,0.1,1,0,0,2,0,1
3290,2578,2410,5,1,NA,NA,0,20,25,0.35,0.25,0,0,0,5,1,1
3330,3003,2167,5,1,NA,NA,0,20,25,0.3,0.2,0,0,0,4,1,1
3343,2822,2737,5,0,NA,NA,0,20,25,0.375,0.05,0,0,0,1,0,1
3345,3205,2410,5,0,NA,NA,0,20,25,0.4,0.1,0,0,0,2,0,1
3346,2700,3132,5,1,NA,NA,0,20,25,0.358333333333333,0.1,0,0,0,2,0,1
3347,2868,2922,5,0,NA,NA,0,20,25,0.383333333333333,0.1,0,0,0,2,1,1
3368,3059,2981,5,0,NA,NA,0,20,25,0.441666666666667,0.2,0,0,0,4,0,1
3369,2530,3124,5,1,NA,NA,0,20,25,0.366666666666667,0.1,0,0,0,2,0,1
3402,2769,2091,5,0,NA,NA,0,20,25,0.433333333333333,0.25,0,0,0,5,1,1
3424,2724,2570,5,1,NA,NA,0,20,25,0.383333333333333,0.2,1,0,0,4,1,1
3460,3139,3214,5,1,NA,NA,0,20,25,0.333333333333333,0.1,0,0,0,2,0,1
3487,3451,3331,4,1,NA,NA,0,21,25,0.416666666666667,0.15,2,0,0,3,1,1
3504,3382,3140,4,0,NA,NA,0,21,25,0.325,0.1,0,0,0,2,0,1
3508,3104,3249,4,1,NA,NA,0,21,25,0.316666666666667,0.05,0,0,0,1,0,1
3528,3434,3359,4,0,NA,NA,0,21,25,0.35,0.1,0,0,0,2,0,1
3544,2806,3009,4,0,NA,NA,0,21,25,0.475,0.1,0,0,0,2,0,1
3545,2664,3358,4,0,NA,NA,0,21,25,0.366666666666667,0.05,0,0,0,1,0,1
3568,3421,3433,4,1,NA,NA,0,21,25,0.375,0.05,2,0,0,1,0,1
3571,2738,3334,4,0,NA,NA,0,21,25,0.383333333333333,0.25,0,0,0,5,1,1
3576,2750,3208,4,1,NA,NA,0,21,25,0.391666666666667,0.15,0,0,0,3,0,1
3577,3143,2709,4,0,NA,NA,0,21,25,0.325,0.15,0,0,1,3,1,1
3579,3237,3181,4,0,NA,NA,0,21,25,0.35,0.2,3,0,0,4,0,1
3590,3417,2623,4,1,NA,NA,0,21,25,0.408333333333333,0.15,1,0,0,3,0,1
3599,3304,2941,4,1,NA,NA,0,21,25,0.366666666666667,0.1,0,0,0,2,1,1
3624,3388,3377,4,0,NA,NA,0,21,25,0.358333333333333,0.05,0,0,0,1,0,1
3649,3246,3073,4,1,NA,NA,0,21,25,0.358333333333333,0.1,0,0,0,2,0,1
3653,2993,2861,4,0,NA,NA,0,21,25,0.333333333333333,0.1,1,0,0,2,0,1
3656,3439,2853,4,1,NA,NA,0,21,25,0.3,0.15,0,0,0,3,1,1
3659,3213,3317,4,0,NA,NA,0,21,25,0.383333333333333,0.2,0,0,0,4,0,1
3668,3327,3078,4,1,NA,NA,0,21,25,0.4,0.1,0,0,0,2,0,1
3669,3352,2566,4,1,NA,NA,0,21,25,0.375,0.15,0,0,0,3,1,1
3676,3011,3431,4,0,NA,NA,0,21,25,0.383333333333333,0.15,0,0,0,3,1,1
