year,popsize,propmig,He,Ho,Fis,nadults,sxratio,nmig,Fst,replicate,parameterset,numboff,FstVSource,FisVSource,deltaK,propMigSNPs,Ho_allSNPs,project,group,k,nSNP,miggy,LBhet,maxage,broodsize,maturity,years,r0,nSNP.mig,nSNP.cons
19,721,0,0.425934389728608,0.42255705459589,0.283045713984276,507,0.514563106796116,0,0.00421465851347172,1,1,214,NA,NA,1000,0.00748959778085992,0.42255705459589,_proj_,_group_,1000,100,0,0.45,9,2,1,250,1,10,0
20,744,0,0.425032025510043,0.423607038123167,0.277731946221947,525,0.497311827956989,0,0.00434403577587042,1,1,219,NA,NA,1000,0.00739247311827957,0.423607038123167,_proj_,_group_,1000,100,0,0.45,9,2,1,250,1,10,0
21,719,0,0.424622219611784,0.423770388165381,0.28125412913396,504,0.500695410292072,0,0.00469967066766897,1,1,215,NA,NA,1000,0.00785813630041725,0.423770388165381,_proj_,_group_,1000,100,0,0.45,9,2,1,250,1,10,0
22,717,0,0.424142689124045,0.42206162038798,0.282912290666921,496,0.532775453277545,0,0.0049434866257116,1,1,221,NA,NA,1000,0.00920502092050209,0.42206162038798,_proj_,_group_,1000,100,0,0.45,9,2,1,250,1,10,0
23,702,0,0.423776288341815,0.423789173789174,0.283423773265072,479,0.531339031339031,0,0.0051228990761204,1,1,223,NA,NA,1000,0.00933048433048433,0.423789173789174,_proj_,_group_,1000,100,0,0.45,9,2,1,250,1,10,0
24,701,0,0.424037940870731,0.425197769420309,0.282410176129876,475,0.51925820256776,0,0.00536933735174112,1,1,226,NA,NA,1000,0.00955777460770328,0.425197769420309,_proj_,_group_,1000,100,0,0.45,9,2,1,250,1,10,0
25,719,0,0.423629864113189,0.425211784043495,0.279140795843597,488,0.50904033379694,0,0.00600041129706246,1,1,231,NA,NA,1000,0.0108484005563282,0.425211784043495,_proj_,_group_,1000,100,0,0.45,9,2,1,250,1,10,0
26,735,0,0.424046571504297,0.427495361781076,0.274582140036836,524,0.52108843537415,0,0.00654548973231077,1,1,211,NA,NA,1000,0.0120408163265306,0.427495361781076,_proj_,_group_,1000,100,0,0.45,9,2,1,250,1,10,0
27,718,0,0.423768966580164,0.426183844011142,0.278450326528651,499,0.516713091922006,0,0.00705300302780634,1,1,219,NA,NA,1000,0.012116991643454,0.426183844011142,_proj_,_group_,1000,100,0,0.45,9,2,1,250,1,10,0
28,717,0,0.424074987723208,0.427855965512869,0.277194629728366,493,0.511854951185495,0,0.0076128425005873,1,1,224,NA,NA,1000,0.0117852161785216,0.427855965512869,_proj_,_group_,1000,100,0,0.45,9,2,1,250,1,10,0
29,720,0,0.423216356271044,0.425871212121212,0.278037107728825,499,0.5125,0,0.0080721003887707,1,1,221,NA,NA,1000,0.0125694444444444,0.425871212121212,_proj_,_group_,1000,100,0,0.45,9,2,1,250,1,10,0
30,726,0,0.424113997015438,0.423340846481342,0.280190285017762,502,0.502754820936639,0,0.00809228567831138,1,1,224,NA,NA,1000,0.0139807162534435,0.423340846481342,_proj_,_group_,1000,100,0,0.45,9,2,1,250,1,10,0
31,697,0,0.423387885886316,0.423294639363506,0.284461655292127,474,0.526542324246772,0,0.00892195563974624,1,1,223,NA,NA,1000,0.0131276901004304,0.423294639363506,_proj_,_group_,1000,100,0,0.45,9,2,1,250,1,10,0
32,705,0,0.423830089029727,0.422269503546099,0.284438548811825,476,0.54468085106383,0,0.00887999752353824,1,1,229,NA,NA,1000,0.0139007092198582,0.422269503546099,_proj_,_group_,1000,100,0,0.45,9,2,1,250,1,10,0
33,731,0,0.423674027993673,0.421875388633255,0.280527888128417,503,0.544459644322845,0,0.00935770057488261,1,1,228,NA,NA,1000,0.0147058823529412,0.421875388633255,_proj_,_group_,1000,100,0,0.45,9,2,1,250,1,10,0
34,712,0,0.422721928762438,0.420326864147089,0.284418247538626,487,0.551966292134832,0,0.0100637519597418,1,1,225,NA,NA,1000,0.0154494382022472,0.420326864147089,_proj_,_group_,1000,100,0,0.45,9,2,1,250,1,10,0
35,718,0,0.422630751341442,0.423335021524437,0.280438234063825,492,0.532033426183844,0,0.0100860907672642,1,1,226,NA,NA,1000,0.0165738161559889,0.423335021524437,_proj_,_group_,1000,100,0,0.45,9,2,1,250,1,10,0
36,724,0,0.422558028739826,0.424121044701155,0.278638067591834,500,0.533149171270718,0,0.0101193640604921,1,1,224,NA,NA,1000,0.0158839779005525,0.424121044701155,_proj_,_group_,1000,100,0,0.45,9,2,1,250,1,10,0
37,741,0,0.422868310040694,0.425076677708257,0.275173941071994,525,0.511470985155196,0,0.0102604952677809,1,1,216,NA,NA,1000,0.016059379217274,0.425076677708257,_proj_,_group_,1000,100,0,0.45,9,2,1,250,1,10,0
38,710,0,0.423470225965267,0.425364916773367,0.280358430792079,492,0.526760563380282,0,0.0101716385471338,1,1,218,NA,NA,1000,0.0161971830985915,0.425364916773367,_proj_,_group_,1000,100,0,0.45,9,2,1,250,1,10,0
39,718,0,0.423090089800951,0.426373765510256,0.277783590880077,494,0.555710306406685,0,0.00984967343076323,1,1,224,NA,NA,1000,0.0177576601671309,0.426373765510256,_proj_,_group_,1000,100,0,0.45,9,2,1,250,1,10,0
40,740,0,0.421357145228767,0.422211302211302,0.277102249268931,518,0.531081081081081,0,0.0101910142844275,1,1,222,NA,NA,1000,0.0168918918918919,0.422211302211302,_proj_,_group_,1000,100,0,0.45,9,2,1,250,1,10,0
41,747,0,0.420575767839522,0.420786175003042,0.276858588684364,532,0.548862115127175,0,0.0109950404404712,1,1,215,NA,NA,1000,0.0168674698795181,0.420786175003042,_proj_,_group_,1000,100,0,0.45,9,2,1,250,1,10,0
42,717,0,0.419554988621532,0.421719284899201,0.280012802428188,504,0.532775453277545,0,0.0115570149891449,1,1,213,NA,NA,1000,0.0165969316596932,0.421719284899201,_proj_,_group_,1000,100,0,0.45,9,2,1,250,1,10,0
43,705,0,0.418622750821936,0.420992907801418,0.282049788910188,477,0.520567375886525,0,0.0123576888135884,1,1,228,NA,NA,1000,0.015531914893617,0.420992907801418,_proj_,_group_,1000,100,0,0.45,9,2,1,250,1,10,0
44,729,0,0.418372816891843,0.422833270981419,0.276102400196322,500,0.486968449931413,0,0.0130054317564211,1,1,229,NA,NA,1000,0.0159807956104252,0.422833270981419,_proj_,_group_,1000,100,0,0.45,9,2,1,250,1,10,0
45,743,0,0.418813012151919,0.420641135445981,0.27635382288541,530,0.481830417227456,0,0.0128868717629893,1,1,213,NA,NA,1000,0.0159488559892328,0.420641135445981,_proj_,_group_,1000,100,0,0.45,9,2,1,250,1,10,0
46,714,0,0.418401522819466,0.417990832696715,0.283350306079577,505,0.469187675070028,0,0.0133214427276543,1,1,209,NA,NA,1000,0.0165266106442577,0.417990832696715,_proj_,_group_,1000,100,0,0.45,9,2,1,250,1,10,0
47,720,0,0.418070137135241,0.417184343434343,0.28294007703903,497,0.448611111111111,0,0.014103106689098,1,1,223,NA,NA,1000,0.0179861111111111,0.417184343434343,_proj_,_group_,1000,100,0,0.45,9,2,1,250,1,10,0
48,715,0,0.418597753168637,0.420089001907184,0.281265377799575,487,0.467132867132867,0,0.0145224160843938,1,1,228,NA,NA,1000,0.0183916083916084,0.420089001907184,_proj_,_group_,1000,100,0,0.45,9,2,1,250,1,10,0
49,697,0,0.418434901183574,0.420907786617973,0.283339289537248,469,0.477761836441894,0,0.014839982628542,1,1,228,NA,NA,1000,0.0187948350071736,0.420907786617973,_proj_,_group_,1000,100,0,0.45,9,2,1,250,1,10,0
50,703,0,0.418427867930002,0.423276865382129,0.280025490487517,475,0.477951635846373,0,0.0151052964718601,1,1,228,NA,NA,1000,0.0188477951635846,0.423276865382129,_proj_,_group_,1000,100,0,0.45,9,2,1,250,1,10,0
