YearBorn,nBornThisYear,meanLRS,SD,LRSfemale,LRSmale,meanRRS,SDRRS,replicate,parameterset
-1,124,1.09677419354839,1.27144597817846,1.10526315789474,1.08955223880597,0.109677419354839,1.27144597817846,1,1
0,458,0.932314410480349,1.14094450750292,0.912133891213389,0.954337899543379,0.0932314410480349,1.14094450750292,1,1
1,28,1.57142857142857,1.73052275186112,1.33333333333333,1.75,0.157142857142857,1.73052275186112,1,1
2,29,1.58620689655172,1.47641557688377,1.47058823529412,1.75,0.158620689655172,1.47641557688377,1,1
3,27,2.03703703703704,1.78630433881889,2,2.0625,0.203703703703704,1.78630433881889,1,1
4,36,1.63888888888889,1.91464696899272,1.95,1.25,0.163888888888889,1.91464696899272,1,1
5,42,1.88095238095238,1.62604384413305,1.83870967741935,2,0.188095238095238,1.62604384413305,1,1
6,40,2.1,1.27701575196598,2.35,1.85,0.21,1.27701575196598,1,1
7,28,2.03571428571429,1.68835100039331,1.69230769230769,2.33333333333333,0.203571428571429,1.68835100039331,1,1
8,58,2.44827586206897,2.12893527291208,2.51851851851852,2.38709677419355,0.244827586206897,2.12893527291208,1,1
9,95,2.22105263157895,1.58570037796862,2.15555555555556,2.28,0.222105263157895,1.58570037796862,1,1
10,108,1.69444444444444,1.37710473293895,1.52727272727273,1.86792452830189,0.169444444444444,1.37710473293895,1,1
11,64,1.6875,1.54174710214877,1.83870967741935,1.54545454545455,0.16875,1.54174710214877,1,1
12,32,2.25,2.14024418263205,2.15384615384615,2.31578947368421,0.225,2.14024418263205,1,1
13,30,2.06666666666667,1.38796137612298,1.94444444444444,2.25,0.206666666666667,1.38796137612298,1,1
14,39,2.1025641025641,1.58603895543305,2.53333333333333,1.83333333333333,0.21025641025641,1.58603895543305,1,1
15,38,2.26315789473684,1.71927405369032,2.25,2.27272727272727,0.226315789473684,1.71927405369032,1,1
16,30,2.56666666666667,1.86959950225993,2.05263157894737,3.45454545454545,0.256666666666667,1.86959950225993,1,1
17,55,2.14545454545455,1.71505514238293,2.29032258064516,1.95833333333333,0.214545454545455,1.71505514238293,1,1
18,79,2.0253164556962,1.66390553498121,2.13333333333333,1.95918367346939,0.20253164556962,1.66390553498121,1,1
19,94,1.5531914893617,1.25823755622052,1.53571428571429,1.57894736842105,0.15531914893617,1.25823755622052,1,1
20,82,1.74390243902439,1.37715914076999,1.875,1.61904761904762,0.174390243902439,1.37715914076999,1,1
21,47,1.85106382978723,1.36698213156248,1.85714285714286,1.84210526315789,0.185106382978723,1.36698213156248,1,1
22,33,2.51515151515152,1.83917801138872,2.1875,2.82352941176471,0.251515151515152,1.83917801138872,1,1
23,36,2.16666666666667,1.20712172424443,2.125,2.2,0.216666666666667,1.20712172424443,1,1
24,39,2.28205128205128,1.43175854235857,2.08333333333333,2.6,0.228205128205128,1.43175854235857,1,1
25,31,2.41935483870968,1.62837738354038,2.0625,2.8,0.241935483870968,1.62837738354038,1,1
26,50,1.9,1.34392055158763,1.96428571428571,1.81818181818182,0.19,1.34392055158763,1,1
27,71,2.11267605633803,1.79323566911601,1.625,2.74193548387097,0.211267605633803,1.79323566911601,1,1
28,84,1.8452380952381,1.27528921944399,1.90697674418605,1.78048780487805,0.18452380952381,1.27528921944399,1,1
29,84,1.55952380952381,1.44248104935196,1.54545454545455,1.575,0.155952380952381,1.44248104935196,1,1
30,63,1.82539682539683,1.47604181402965,2.10714285714286,1.6,0.182539682539683,1.47604181402965,1,1
31,38,2.5,1.22474487139159,2.42105263157895,2.57894736842105,0.25,1.22474487139159,1,1
32,35,2.14285714285714,1.3315814821848,2.26315789473684,2,0.214285714285714,1.3315814821848,1,1
33,37,2.27027027027027,1.42689734600497,2.5,2,0.227027027027027,1.42689734600497,1,1
34,34,2.41176470588235,1.43796251181428,2.42857142857143,2.4,0.241176470588235,1.43796251181428,1,1
35,45,2.33333333333333,1.58113883008419,2.26315789473684,2.38461538461538,0.233333333333333,1.58113883008419,1,1
36,64,1.859375,1.34361733379803,1.93939393939394,1.7741935483871,0.1859375,1.34361733379803,1,1
37,78,1.79487179487179,1.44473045487596,1.84210526315789,1.75,0.179487179487179,1.44473045487596,1,1
38,83,1.95180722891566,1.64467814671703,1.74418604651163,2.175,0.195180722891566,1.64467814671703,1,1
39,70,1.85714285714286,1.53496177817413,1.87878787878788,1.83783783783784,0.185714285714286,1.53496177817413,1,1
40,49,1.95918367346939,1.51326335658885,2.03846153846154,1.8695652173913,0.195918367346939,1.51326335658885,1,1
41,34,2.17647058823529,1.73153615867694,2.05555555555556,2.3125,0.217647058823529,1.73153615867694,1,1
42,36,2.02777777777778,1.6122054302124,2.05263157894737,2,0.202777777777778,1.6122054302124,1,1
43,36,2.33333333333333,1.72378321474267,1.64705882352941,2.94736842105263,0.233333333333333,1.72378321474267,1,1
44,45,1.77777777777778,1.39624315557676,1.76923076923077,1.78947368421053,0.177777777777778,1.39624315557676,1,1
45,57,2.01754385964912,1.45763051449672,2.14814814814815,1.9,0.201754385964912,1.45763051449672,1,1
46,72,1.91666666666667,1.26435420246693,2.03448275862069,1.83720930232558,0.191666666666667,1.26435420246693,1,1
47,78,2.12820512820513,1.63054428295421,1.91666666666667,2.46666666666667,0.212820512820513,1.63054428295421,1,1
48,74,1.77027027027027,1.52196067935903,1.58536585365854,2,0.177027027027027,1.52196067935903,1,1
49,55,1.8,1.47070152069105,1.93103448275862,1.65384615384615,0.18,1.47070152069105,1,1
50,40,2.125,1.57199040905275,2.26086956521739,1.94117647058824,0.2125,1.57199040905275,1,1
51,37,2,1.43372087784044,1.84615384615385,2.36363636363636,0.2,1.43372087784044,1,1
52,36,2.52777777777778,1.59438498865973,2.05263157894737,3.05882352941176,0.252777777777778,1.59438498865973,1,1
53,43,1.93023255813953,1.48637220290928,2.04761904761905,1.81818181818182,0.193023255813953,1.48637220290928,1,1
54,56,2.05357142857143,1.39374763409036,1.83333333333333,2.30769230769231,0.205357142857143,1.39374763409036,1,1
55,66,1.63636363636364,1.48465342898462,1.63636363636364,1.63636363636364,0.163636363636364,1.48465342898462,1,1
56,73,2.0958904109589,1.49224275245949,2.16666666666667,2.02702702702703,0.20958904109589,1.49224275245949,1,1
57,75,1.78666666666667,1.31820243424812,1.5,2.08108108108108,0.178666666666667,1.31820243424812,1,1
58,64,1.984375,1.657040654347,1.6,2.44827586206897,0.1984375,1.657040654347,1,1
59,44,2,1.61389316957186,1.52173913043478,2.52380952380952,0.2,1.61389316957186,1,1
60,37,2.21621621621622,1.41686538086987,2.22727272727273,2.2,0.221621621621622,1.41686538086987,1,1
61,39,2,1.2977713690461,2.36842105263158,1.65,0.2,1.2977713690461,1,1
62,39,2.1025641025641,1.50078701800565,2.22222222222222,2,0.21025641025641,1.50078701800565,1,1
63,53,1.9811320754717,1.32273850601604,2.21052631578947,1.85294117647059,0.19811320754717,1.32273850601604,1,1
64,61,2.18032786885246,1.69811853454847,2,2.36666666666667,0.218032786885246,1.69811853454847,1,1
65,71,1.98591549295775,1.30376331930168,1.73809523809524,2.3448275862069,0.198591549295775,1.30376331930168,1,1
66,74,1.81081081081081,1.33114098422426,1.76923076923077,1.85714285714286,0.181081081081081,1.33114098422426,1,1
67,64,2.203125,1.80105513607291,2.31034482758621,2.11428571428571,0.2203125,1.80105513607291,1,1
68,51,2.01960784313725,1.47634949897958,2.21428571428571,1.78260869565217,0.201960784313725,1.47634949897958,1,1
69,42,2.04761904761905,1.57654115001072,1.77777777777778,2.53333333333333,0.204761904761905,1.57654115001072,1,1
70,40,2.5,1.73943698524581,2.61111111111111,2.40909090909091,0.25,1.73943698524581,1,1
71,38,2.18421052631579,1.46776651722111,2,2.41176470588235,0.218421052631579,1.46776651722111,1,1
72,51,1.54901960784314,1.3610837665654,1.57575757575758,1.5,0.154901960784314,1.3610837665654,1,1
73,59,2.05084745762712,1.45535549411842,2.03225806451613,2.07142857142857,0.205084745762712,1.45535549411842,1,1
74,66,1.90909090909091,1.35564089557753,1.75675675675676,2.10344827586207,0.190909090909091,1.35564089557753,1,1
75,73,2.05479452054795,1.15338163385017,2.12121212121212,2,0.205479452054795,1.15338163385017,1,1
76,67,1.67164179104478,1.55103152090249,1.96969696969697,1.38235294117647,0.167164179104478,1.55103152090249,1,1
