year,popsize,propmig,He,Ho,Fis,nadults,sxratio,nmig,Fst,replicate,parameterset,numboff,FstVSource,FisVSource,deltaK,propMigSNPs,Ho_allSNPs,project,group,k,nSNP,miggy,LBhet,LBp,maxage,broodsize,maturity,years,r0,nSNP.mig,nSNP.cons
0,1000,0,0.160941323181818,0.177039,0,264,0.485,0,0,1,1,0,0.365147710113316,-1.40263514603423e-05,1000,0,0.160944545454545,end_9.18.23_LL1b,03,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
1,897,0,0.161075938182962,0.17687595013682,0.000352063941641617,489,0.480490523968785,0,-0.000484196657111218,1,1,20,0.365079689495667,NA,1000,0,0.161132056349448,end_9.18.23_LL1b,03,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
2,818,0,0.160898333968266,0.174671704823294,0.000307285266379808,712,0.47799511002445,0,-0.000421843089768181,1,1,106,0.365141644081341,NA,1000,0,0.160981329184263,end_9.18.23_LL1b,03,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
3,744,0,0.160589413089007,0.170986559139785,0.000462951838370072,582,0.491935483870968,0,-0.000281932252435578,1,1,162,0.36518864840588,NA,1000,0,0.160626832844575,end_9.18.23_LL1b,03,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
4,689,0,0.160950922178022,0.167217970708537,6.12134938458481e-05,480,0.509433962264151,0,-4.53454871738814e-05,1,1,209,0.365204866223134,NA,1000,0,0.161155825306769,end_9.18.23_LL1b,03,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
5,687,0,0.161033613725401,0.163946671959772,-0.000211766873595732,455,0.506550218340611,0,0.000324149121105545,1,1,232,0.365338711049677,NA,1000,0,0.161347095408231,end_9.18.23_LL1b,03,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
6,685,0,0.161178577829012,0.162309356337094,0.000220315856328767,449,0.518248175182482,0,0.000540009398390304,1,1,236,0.365463472406208,NA,1000,0,0.161321831453218,end_9.18.23_LL1b,03,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
7,697,0,0.160994181402006,0.161073562019043,0.00072173035409626,457,0.51793400286944,0,0.000745636962008534,1,1,240,0.365540587259996,NA,1000,0,0.160937785313682,end_9.18.23_LL1b,03,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
8,691,0,0.161283577966263,0.161235363767925,0.000702196964393061,453,0.509406657018813,0,0.00107072996402013,1,1,238,0.365633970322652,NA,1000,0,0.161235363767925,end_9.18.23_LL1b,03,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
9,725,0,0.161465233163982,0.161719122257053,-9.36566122681686e-05,487,0.499310344827586,0,0.00141095568134149,1,1,238,0.365714450487319,NA,1000,0,0.161719122257053,end_9.18.23_LL1b,03,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
10,742,0,0.161382172727339,0.161568243077677,7.10228548757757e-05,518,0.5,0,0.00174773151561695,1,1,224,0.365883188847822,NA,1000,0,0.161568243077677,end_9.18.23_LL1b,03,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
11,752,0,0.161412317797286,0.161410783365571,0.000563775950012533,529,0.50531914893617,0,0.00197633274130937,1,1,223,0.365944608095471,NA,1000,0,0.161410783365571,end_9.18.23_LL1b,03,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
12,711,0,0.161813917990279,0.161536887866002,0.00128679642525436,491,0.50070323488045,0,0.0022088546986365,1,1,220,0.365957007636209,NA,1000,0,0.161536887866002,end_9.18.23_LL1b,03,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
13,707,0,0.161682786383306,0.161579015044362,0.000841003023304285,472,0.496463932107496,0,0.00240646289831084,1,1,235,0.366032153468616,NA,1000,0,0.161579015044362,end_9.18.23_LL1b,03,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
14,713,0,0.16136919066841,0.161595052913426,-1.10454916704914e-05,473,0.489481065918654,0,0.00266968299152639,1,1,240,0.36614187254258,NA,1000,0,0.161595052913426,end_9.18.23_LL1b,03,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
15,699,0,0.16110370406342,0.16148263753414,-0.000391126955375234,466,0.483547925608011,0,0.00294319233469307,1,1,233,0.36629793806911,NA,1000,0,0.16148263753414,end_9.18.23_LL1b,03,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
16,701,0,0.16110336198302,0.161606795486967,-0.000712100969990387,462,0.476462196861626,0,0.00351302698512929,1,1,239,0.366490362938404,NA,1000,0,0.161606795486967,end_9.18.23_LL1b,03,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
17,739,0,0.160733636118935,0.161391315044901,-0.00117366519705005,503,0.47361299052774,0,0.00388506759535162,1,1,236,0.366652188120747,NA,1000,0,0.161391315044901,end_9.18.23_LL1b,03,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
18,701,0,0.160607360846382,0.16130333290105,-0.00120719580600565,473,0.502139800285307,0,0.0040873270921997,1,1,228,0.366712576625299,NA,1000,0,0.16130333290105,end_9.18.23_LL1b,03,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
19,715,0,0.160509585265339,0.161169739351558,-0.00114026538658757,477,0.521678321678322,0,0.00436762919477008,1,1,238,0.366856613933873,NA,1000,0,0.161169739351558,end_9.18.23_LL1b,03,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
