YearBorn,nBornThisYear,meanLRS,SD,LRSfemale,LRSmale,meanRRS,SDRRS,replicate,parameterset,col,mig
56,76,1.921052632,1.373687571,2,1.875,0.192105263,1.373687571,1,c,purple,1
57,71,2.197183099,1.450317387,2.25,2.142857143,0.21971831,1.450317387,1,c,purple,1
58,64,1.859375,1.56212297,1.971428571,1.724137931,0.1859375,1.56212297,1,c,purple,1
59,46,2,1.264911064,2.285714286,1.76,0.2,1.264911064,1,c,purple,1
60,34,2.235294118,1.415473441,2.375,2.111111111,0.223529412,1.415473441,1,c,purple,1
61,38,1.973684211,1.6189226,2.16,1.615384615,0.197368421,1.6189226,1,c,purple,1
62,41,2.170731707,1.773449168,2.222222222,2.130434783,0.217073171,1.773449168,1,c,purple,1
63,52,1.788461538,1.43262461,1.72,1.851851852,0.178846154,1.43262461,1,c,purple,1
64,65,2.092307692,1.756444179,2,2.171428571,0.209230769,1.756444179,1,c,purple,1
65,71,1.971830986,1.433993734,1.9375,2,0.197183099,1.433993734,1,c,purple,1
66,70,1.957142857,1.488464964,1.975,1.933333333,0.195714286,1.488464964,1,c,purple,1
67,65,2,1.686342195,1.833333333,2.206896552,0.2,1.686342195,1,c,purple,1
68,52,2.192307692,1.692410528,2.217391304,2.172413793,0.219230769,1.692410528,1,c,purple,1
69,36,2.166666667,1.664760815,2.238095238,2.066666667,0.216666667,1.664760815,1,c,purple,1
70,41,1.853658537,1.388541962,2.095238095,1.6,0.185365854,1.388541962,1,c,purple,1
71,43,1.906976744,1.50892509,1.833333333,1.96,0.190697674,1.50892509,1,c,purple,1
72,49,1.87755102,1.438063702,2.15,1.689655172,0.187755102,1.438063702,1,c,purple,1
73,61,1.672131148,1.179283843,1.6875,1.655172414,0.167213115,1.179283843,1,c,purple,1
74,67,1.835820896,1.343863888,1.823529412,1.848484848,0.18358209,1.343863888,1,c,purple,1
75,68,2.014705882,1.501170161,1.911764706,2.117647059,0.201470588,1.501170161,1,c,purple,1
76,67,2.014925373,1.637556729,1.972222222,2.064516129,0.201492537,1.637556729,1,c,purple,1
77,57,2.122807018,1.512686534,1.793103448,2.464285714,0.212280702,1.512686534,1,c,purple,1
78,40,2.1,1.645506702,1.80952381,2.421052632,0.21,1.645506702,1,c,purple,1
79,41,2,1.483239697,1.8,2.19047619,0.2,1.483239697,1,c,purple,1
80,43,1.906976744,1.34188839,1.826086957,2,0.190697674,1.34188839,1,c,purple,1
81,48,2.25,1.732050808,2.28,2.217391304,0.225,1.732050808,1,c,purple,1
82,59,1.779661017,1.287443291,1.916666667,1.565217391,0.177966102,1.287443291,1,c,purple,1
83,61,1.803278689,1.481212028,1.771428571,1.846153846,0.180327869,1.481212028,1,c,purple,1
84,67,1.835820896,1.286256194,1.515151515,2.147058824,0.18358209,1.286256194,1,c,purple,1
85,70,1.842857143,1.656219847,1.918918919,1.757575758,0.184285714,1.656219847,1,c,purple,1
86,57,2.298245614,1.534890786,2.310344828,2.285714286,0.229824561,1.534890786,1,c,purple,1
87,45,2.2,1.632065061,2.157894737,2.230769231,0.22,1.632065061,1,c,purple,1
88,39,1.641025641,1.307612921,1.75,1.565217391,0.164102564,1.307612921,1,c,purple,1
