YearBorn,nBornThisYear,meanLRS,SD,LRSfemale,LRSmale,meanRRS,SDRRS,replicate,parameterset,col,mig
57,75,1.906666667,1.367314722,1.947368421,1.864864865,0.190666667,1.367314722,1,b,blue,0
58,62,1.983870968,1.454128498,1.739130435,2.128205128,0.198387097,1.454128498,1,b,blue,0
59,50,2.06,1.503872552,2.3,1.9,0.206,1.503872552,1,b,blue,0
60,42,2.047619048,1.342592704,2.074074074,2,0.204761905,1.342592704,1,b,blue,0
61,41,2.12195122,1.832963747,2.238095238,2,0.212195122,1.832963747,1,b,blue,0
62,36,2.166666667,1.715475777,1.882352941,2.421052632,0.216666667,1.715475777,1,b,blue,0
63,50,1.88,1.394449639,1.966666667,1.75,0.188,1.394449639,1,b,blue,0
64,61,1.803278689,1.536442559,1.46875,2.172413793,0.180327869,1.536442559,1,b,blue,0
65,70,2.242857143,1.478696197,2.3,2.166666667,0.224285714,1.478696197,1,b,blue,0
66,73,1.931506849,1.417438683,1.948717949,1.911764706,0.193150685,1.417438683,1,b,blue,0
67,64,1.8125,1.489380397,1.875,1.75,0.18125,1.489380397,1,b,blue,0
68,54,1.888888889,1.513045993,1.620689655,2.2,0.188888889,1.513045993,1,b,blue,0
69,43,2.534883721,1.563708005,2.222222222,3.0625,0.253488372,1.563708005,1,b,blue,0
70,45,2.133333333,1.575378742,2.111111111,2.148148148,0.213333333,1.575378742,1,b,blue,0
71,37,1.945945946,1.489704407,1.625,2.19047619,0.194594595,1.489704407,1,b,blue,0
72,48,1.9375,1.521564844,1.851851852,2.047619048,0.19375,1.521564844,1,b,blue,0
73,56,2.107142857,1.647903036,2.44,1.838709677,0.210714286,1.647903036,1,b,blue,0
74,67,1.805970149,1.144668881,1.857142857,1.769230769,0.180597015,1.144668881,1,b,blue,0
75,70,1.8,1.246444218,1.710526316,1.90625,0.18,1.246444218,1,b,blue,0
76,66,1.893939394,1.229493803,2.060606061,1.727272727,0.189393939,1.229493803,1,b,blue,0
77,60,1.916666667,1.393589034,2.15625,1.642857143,0.191666667,1.393589034,1,b,blue,0
78,47,2.127659574,1.540990947,2.428571429,2,0.212765957,1.540990947,1,b,blue,0
79,43,2.255813953,1.691618319,2.15,2.347826087,0.225581395,1.691618319,1,b,blue,0
80,39,1.974358974,1.266723488,2.4,1.526315789,0.197435897,1.266723488,1,b,blue,0
81,47,1.893617021,1.371036462,2.136363636,1.68,0.189361702,1.371036462,1,b,blue,0
82,52,2.346153846,1.493575988,2.45,2.28125,0.234615385,1.493575988,1,b,blue,0
83,65,1.676923077,1.426399448,1.71875,1.636363636,0.167692308,1.426399448,1,b,blue,0
84,68,1.926470588,1.341820733,2.096774194,1.783783784,0.192647059,1.341820733,1,b,blue,0
85,65,1.8,1.371586672,1.90625,1.696969697,0.18,1.371586672,1,b,blue,0
86,63,2.206349206,1.676774266,2.3125,2.096774194,0.220634921,1.676774266,1,b,blue,0
