YearBorn,nBornThisYear,meanLRS,SD,LRSfemale,LRSmale,meanRRS,SDRRS,replicate,parameterset,col,mig
54,53,2.056603774,1.350428626,2.148148148,1.961538462,0.14690027,1.350428626,1,d,springgreen,5
55,65,1.753846154,1.262818886,2.085714286,1.366666667,0.125274725,1.262818886,1,d,springgreen,5
56,74,1.756756757,1.311809488,1.777777778,1.736842105,0.125482625,1.311809488,1,d,springgreen,5
57,78,1.679487179,1.427863628,1.594594595,1.756097561,0.11996337,1.427863628,1,d,springgreen,5
58,67,1.701492537,1.392783624,1.71875,1.685714286,0.121535181,1.392783624,1,d,springgreen,5
59,43,2.186046512,1.665558879,1.956521739,2.45,0.156146179,1.665558879,1,d,springgreen,5
60,31,2.516129032,1.524706917,3,2.166666667,0.179723502,1.524706917,1,d,springgreen,5
61,22,1.909090909,1.341963413,1.666666667,2.2,0.136363636,1.341963413,1,d,springgreen,5
62,38,2.236842105,1.217756256,2.428571429,2,0.159774436,1.217756256,1,d,springgreen,5
63,50,2.08,1.426283883,2.125,2.038461538,0.148571429,1.426283883,1,d,springgreen,5
64,60,1.683333333,1.321166237,1.90625,1.428571429,0.120238095,1.321166237,1,d,springgreen,5
65,72,1.791666667,1.727470674,1.724137931,1.837209302,0.12797619,1.727470674,1,d,springgreen,5
66,75,1.8,1.355668779,1.675675676,1.921052632,0.128571429,1.355668779,1,d,springgreen,5
67,69,1.826086957,1.360758026,1.833333333,1.818181818,0.130434783,1.360758026,1,d,springgreen,5
68,49,1.959183673,1.657799541,2.074074074,1.818181818,0.139941691,1.657799541,1,d,springgreen,5
69,40,2.25,1.372812946,2.086956522,2.470588235,0.160714286,1.372812946,1,d,springgreen,5
70,22,1.681818182,1.041352767,1.769230769,1.555555556,0.12012987,1.041352767,1,d,springgreen,5
71,33,1.818181818,1.157976291,2.066666667,1.611111111,0.12987013,1.157976291,1,d,springgreen,5
72,50,2.12,1.319245301,2.173913043,2.074074074,0.151428571,1.319245301,1,d,springgreen,5
73,55,1.890909091,1.271813043,1.96,1.833333333,0.135064935,1.271813043,1,d,springgreen,5
74,67,1.746268657,1.259428485,1.909090909,1.588235294,0.124733475,1.259428485,1,d,springgreen,5
75,71,1.436619718,1.250512973,1.666666667,1.236842105,0.102615694,1.250512973,1,d,springgreen,5
76,69,2.101449275,1.341036995,2.366666667,1.897435897,0.15010352,1.341036995,1,d,springgreen,5
77,62,2.14516129,1.446836846,2,2.321428571,0.153225806,1.446836846,1,d,springgreen,5
78,46,1.891304348,1.464062246,2.115384615,1.6,0.135093168,1.464062246,1,d,springgreen,5
79,22,2.136363636,1.457181054,2.375,2,0.152597403,1.457181054,1,d,springgreen,5
80,35,1.857142857,1.331581482,1.625,2.052631579,0.132653061,1.331581482,1,d,springgreen,5
81,46,1.760869565,1.463402164,1.619047619,1.88,0.125776398,1.463402164,1,d,springgreen,5
82,53,1.79245283,1.419080018,2.142857143,1.5625,0.128032345,1.419080018,1,d,springgreen,5
83,63,1.984126984,1.442355416,2.290322581,1.6875,0.141723356,1.442355416,1,d,springgreen,5
84,69,1.797101449,1.388817844,1.941176471,1.657142857,0.128364389,1.388817844,1,d,springgreen,5
85,69,2,1.635992234,2.028571429,1.970588235,0.142857143,1.635992234,1,d,springgreen,5
86,66,1.651515152,1.397717086,1.541666667,1.714285714,0.117965368,1.397717086,1,d,springgreen,5
87,48,2.1875,1.424052503,2.166666667,2.208333333,0.15625,1.424052503,1,d,springgreen,5
88,26,1.961538462,1.636600604,2,1.928571429,0.14010989,1.636600604,1,d,springgreen,5
89,36,2.222222222,1.354592424,2.0625,2.35,0.158730159,1.354592424,1,d,springgreen,5
90,44,1.863636364,1.192825629,2.068965517,1.466666667,0.133116883,1.192825629,1,d,springgreen,5
91,50,1.88,1.334625224,1.739130435,2,0.134285714,1.334625224,1,d,springgreen,5
92,62,2,1.536442559,2.103448276,1.909090909,0.142857143,1.536442559,1,d,springgreen,5
93,67,1.746268657,1.407160084,1.911764706,1.575757576,0.124733475,1.407160084,1,d,springgreen,5
94,68,1.691176471,1.363241888,1.838709677,1.567567568,0.120798319,1.363241888,1,d,springgreen,5
95,67,1.597014925,1.268018037,1.823529412,1.363636364,0.114072495,1.268018037,1,d,springgreen,5
96,51,1.764705882,1.504503045,1.714285714,1.8,0.12605042,1.504503045,1,d,springgreen,5
97,32,1.96875,1.33161011,1.947368421,2,0.140625,1.33161011,1,d,springgreen,5
98,34,1.588235294,1.373287298,1.666666667,1.5,0.113445378,1.373287298,1,d,springgreen,5
99,39,2.205128205,1.260315065,1.857142857,2.611111111,0.157509158,1.260315065,1,d,springgreen,5
100,43,2.11627907,1.483389014,2.4375,1.925925926,0.151162791,1.483389014,1,d,springgreen,5
101,52,1.826923077,1.33902443,1.894736842,1.787878788,0.130494505,1.33902443,1,d,springgreen,5
102,58,1.655172414,1.606475101,1.606060606,1.72,0.118226601,1.606475101,1,d,springgreen,5
103,64,1.53125,1.500991736,1.342857143,1.75862069,0.109375,1.500991736,1,d,springgreen,5
104,62,1.741935484,1.425016352,1.764705882,1.714285714,0.124423963,1.425016352,1,d,springgreen,5
105,47,1.659574468,1.220773022,1.481481481,1.9,0.118541033,1.220773022,1,d,springgreen,5
106,29,1.827586207,1.2836601,2.230769231,1.5,0.130541872,1.2836601,1,d,springgreen,5
107,30,1.633333333,1.29942516,1.533333333,1.733333333,0.116666667,1.29942516,1,d,springgreen,5
108,30,2.4,1.328727678,2.176470588,2.692307692,0.171428571,1.328727678,1,d,springgreen,5
109,34,1.558823529,1.307117497,1.4375,1.666666667,0.111344538,1.307117497,1,d,springgreen,5
110,43,1.581395349,1.257975663,1.391304348,1.8,0.112956811,1.257975663,1,d,springgreen,5
111,50,2,1.577908717,1.92,2.08,0.142857143,1.577908717,1,d,springgreen,5
112,56,1.357142857,1.212489122,1.727272727,1.117647059,0.096938776,1.212489122,1,d,springgreen,5
113,56,1.75,1.598294546,2,1.5625,0.125,1.598294546,1,d,springgreen,5
114,43,1.720930233,1.315214656,1.761904762,1.681818182,0.122923588,1.315214656,1,d,springgreen,5
115,23,2,1.623688282,2.5,1.454545455,0.142857143,1.623688282,1,d,springgreen,5
116,25,1.92,1.411854572,1.571428571,2.055555556,0.137142857,1.411854572,1,d,springgreen,5
117,23,1.782608696,1.730909423,1.5,2.222222222,0.127329193,1.730909423,1,d,springgreen,5
118,24,1.041666667,0.999093792,1.454545455,0.692307692,0.074404762,0.999093792,1,d,springgreen,5
119,32,1.90625,1.531589413,1.684210526,2.230769231,0.136160714,1.531589413,1,d,springgreen,5
120,43,1.581395349,1.418123477,1.619047619,1.545454545,0.112956811,1.418123477,1,d,springgreen,5
121,47,1.510638298,1.39677175,1.307692308,1.761904762,0.107902736,1.39677175,1,d,springgreen,5
122,48,1.145833333,1.091350585,0.913043478,1.36,0.081845238,1.091350585,1,d,springgreen,5
123,42,1.642857143,1.164964745,1.777777778,1.4,0.117346939,1.164964745,1,d,springgreen,5
124,17,1.352941176,0.996316746,1.666666667,0.6,0.096638655,0.996316746,1,d,springgreen,5
125,18,1.944444444,1.589384721,1.142857143,2.454545455,0.138888889,1.589384721,1,d,springgreen,5
126,21,2,1.760681686,2.111111111,1.916666667,0.142857143,1.760681686,1,d,springgreen,5
127,18,1.833333333,1.465284554,1.8,1.875,0.130952381,1.465284554,1,d,springgreen,5
128,22,1.863636364,1.457181054,1.230769231,2.777777778,0.133116883,1.457181054,1,d,springgreen,5
129,32,1.71875,1.224333262,1.733333333,1.705882353,0.122767857,1.224333262,1,d,springgreen,5
130,36,1.222222222,1.072010424,1,1.444444444,0.087301587,1.072010424,1,d,springgreen,5
131,40,1.475,1.131993929,1.9,1.05,0.105357143,1.131993929,1,d,springgreen,5
132,36,1.388888889,1.459506331,1.857142857,1.090909091,0.099206349,1.459506331,1,d,springgreen,5
133,13,1.846153846,1.463224399,2.111111111,1.25,0.131868132,1.463224399,1,d,springgreen,5
134,7,1.714285714,1.704336206,4,1.333333333,0.12244898,1.704336206,1,d,springgreen,5
135,13,1.538461538,1.330124344,1,1.875,0.10989011,1.330124344,1,d,springgreen,5
136,14,1.714285714,1.325987088,1.5,1.875,0.12244898,1.325987088,1,d,springgreen,5
137,18,1.166666667,1.42457424,0.666666667,1.416666667,0.083333333,1.42457424,1,d,springgreen,5
138,19,1.157894737,1.014514547,1.166666667,1.142857143,0.082706767,1.014514547,1,d,springgreen,5
139,26,1.115384615,0.993052791,1,1.25,0.07967033,0.993052791,1,d,springgreen,5
140,32,0.8125,0.820601668,0.916666667,0.75,0.058035714,0.820601668,1,d,springgreen,5
141,31,0.838709677,0.934407983,0.772727273,1,0.059907834,0.934407983,1,d,springgreen,5
142,9,0.777777778,1.092906421,0.8,0.75,0.055555556,1.092906421,1,d,springgreen,5
143,NA,NA,NA,NA,NA,NA,NA,1,d,springgreen,5
144,NA,NA,NA,NA,NA,NA,NA,1,d,springgreen,5
145,NA,NA,NA,NA,NA,NA,NA,1,d,springgreen,5
146,2,0.5,0.707106781,NA,0.5,0.035714286,0.707106781,1,d,springgreen,5
147,9,1,0.707106781,1,1,0.071428571,0.707106781,1,d,springgreen,5
148,6,0.833333333,0.98319208,0.5,1,0.05952381,0.98319208,1,d,springgreen,5
149,20,0.85,0.87509398,0.75,1,0.060714286,0.87509398,1,d,springgreen,5
150,19,0.421052632,0.692482609,0.444444444,0.4,0.030075188,0.692482609,1,d,springgreen,5
151,22,0.454545455,1.335496081,0.166666667,0.8,0.032467532,1.335496081,1,d,springgreen,5
152,18,0.444444444,0.783823376,0.333333333,0.555555556,0.031746032,0.783823376,1,d,springgreen,5
153,15,0.533333333,0.915475416,0.75,0.285714286,0.038095238,0.915475416,1,d,springgreen,5
154,19,0.315789474,0.820069887,0.333333333,0.3,0.022556391,0.820069887,1,d,springgreen,5
155,24,0.458333333,0.721060009,0.727272727,0.230769231,0.032738095,0.721060009,1,d,springgreen,5
156,16,0.4375,1.030776406,0.142857143,0.666666667,0.03125,1.030776406,1,d,springgreen,5
157,14,0.571428571,0.937614462,0.571428571,0.571428571,0.040816327,0.937614462,1,d,springgreen,5
158,22,0.5,1.33630621,0.1875,1.333333333,0.035714286,1.33630621,1,d,springgreen,5
159,24,0.416666667,0.503610155,0.533333333,0.222222222,0.029761905,0.503610155,1,d,springgreen,5
160,24,0.541666667,0.9770927,0.181818182,0.846153846,0.038690476,0.9770927,1,d,springgreen,5
161,19,0.315789474,0.820069887,0.285714286,0.333333333,0.022556391,0.820069887,1,d,springgreen,5
162,14,0.214285714,0.578934224,0,0.428571429,0.015306122,0.578934224,1,d,springgreen,5
163,19,0.263157895,0.561951487,0.3,0.222222222,0.018796992,0.561951487,1,d,springgreen,5
164,20,1,1.716790151,0.833333333,1.25,0.071428571,1.716790151,1,d,springgreen,5
165,21,0.571428571,0.870139562,0.636363636,0.5,0.040816327,0.870139562,1,d,springgreen,5
166,23,0.434782609,0.727766631,0.333333333,0.5,0.031055901,0.727766631,1,d,springgreen,5
167,21,0.142857143,0.478091444,0.166666667,0.111111111,0.010204082,0.478091444,1,d,springgreen,5
168,19,0.894736842,1.911797782,1,0.777777778,0.063909774,1.911797782,1,d,springgreen,5
169,20,0.7,1.174285897,0.333333333,1,0.05,1.174285897,1,d,springgreen,5
170,21,1.523809524,1.691716513,1.5,1.545454545,0.108843537,1.691716513,1,d,springgreen,5
171,25,0.6,1,0.4,0.733333333,0.042857143,1,1,d,springgreen,5
172,29,1.24137931,1.618093508,1.176470588,1.333333333,0.088669951,1.618093508,1,d,springgreen,5
173,28,1.214285714,1.663489034,1.714285714,1.047619048,0.086734694,1.663489034,1,d,springgreen,5
174,25,1.32,1.547040185,1.411764706,1.125,0.094285714,1.547040185,1,d,springgreen,5
175,31,1.129032258,1.024432704,1.333333333,0.9375,0.080645161,1.024432704,1,d,springgreen,5
176,19,2.210526316,1.474936811,1.818181818,2.75,0.157894737,1.474936811,1,d,springgreen,5
177,18,1.666666667,1.084652289,2,1.333333333,0.119047619,1.084652289,1,d,springgreen,5
178,12,2,1.206045378,1.4,2.428571429,0.142857143,1.206045378,1,d,springgreen,5
179,12,2.25,1.288057029,2.2,2.285714286,0.160714286,1.288057029,1,d,springgreen,5
180,13,2.076923077,1.255755978,2,2.166666667,0.148351648,1.255755978,1,d,springgreen,5
181,14,1.714285714,0.825420306,1.333333333,2.4,0.12244898,0.825420306,1,d,springgreen,5
182,18,2.166666667,1.382665797,2.333333333,1.833333333,0.154761905,1.382665797,1,d,springgreen,5
183,21,2.238095238,1.261140829,2,2.555555556,0.159863946,1.261140829,1,d,springgreen,5
184,29,2.034482759,1.295121578,2,2.1,0.145320197,1.295121578,1,d,springgreen,5
185,30,1.6,1.354430788,1.6875,1.5,0.114285714,1.354430788,1,d,springgreen,5
186,23,2.173913043,1.302172098,2.166666667,2.181818182,0.155279503,1.302172098,1,d,springgreen,5
187,17,1.529411765,1.178857872,1,1.75,0.109243697,1.178857872,1,d,springgreen,5
188,17,2.235294118,1.347655917,2.666666667,1.75,0.159663866,1.347655917,1,d,springgreen,5
189,17,2.235294118,1.786386428,1.666666667,2.545454545,0.159663866,1.786386428,1,d,springgreen,5
190,19,1.578947368,1.121298329,1.666666667,1.538461538,0.112781955,1.121298329,1,d,springgreen,5
191,23,2.47826087,1.410014997,2.6,2.384615385,0.177018634,1.410014997,1,d,springgreen,5
192,28,1.392857143,0.956044541,1.545454545,1.294117647,0.099489796,0.956044541,1,d,springgreen,5
193,33,1.939393939,1.41287371,1.6875,2.176470588,0.138528139,1.41287371,1,d,springgreen,5
194,36,2.027777778,1.576363104,2.35,1.625,0.14484127,1.576363104,1,d,springgreen,5
195,32,1.75,1.684847078,1.65,1.916666667,0.125,1.684847078,1,d,springgreen,5
196,23,2.260869565,1.421183607,2.4,2.153846154,0.161490683,1.421183607,1,d,springgreen,5
197,22,1.681818182,1.210523839,2.333333333,1.4375,0.12012987,1.210523839,1,d,springgreen,5
198,21,3.19047619,1.631534481,2.916666667,3.555555556,0.227891156,1.631534481,1,d,springgreen,5
199,21,1.904761905,1.300183137,2.428571429,1.642857143,0.136054422,1.300183137,1,d,springgreen,5
200,28,2.571428571,1.573591585,2.5,2.611111111,0.183673469,1.573591585,1,d,springgreen,5
201,30,1.666666667,1.061337261,1.846153846,1.529411765,0.119047619,1.061337261,1,d,springgreen,5
202,37,1.837837838,1.364500591,1.904761905,1.75,0.131274131,1.364500591,1,d,springgreen,5
203,39,2.179487179,1.295169058,2.047619048,2.333333333,0.155677656,1.295169058,1,d,springgreen,5
204,40,1.65,1.098950548,1.85,1.45,0.117857143,1.098950548,1,d,springgreen,5
205,32,2.03125,1.616135873,2.6875,1.375,0.145089286,1.616135873,1,d,springgreen,5
206,26,1.576923077,1.474396878,1.333333333,1.705882353,0.112637363,1.474396878,1,d,springgreen,5
207,30,1.9,1.422722015,1.785714286,2,0.135714286,1.422722015,1,d,springgreen,5
208,29,2.517241379,1.549670233,2.444444444,2.636363636,0.179802956,1.549670233,1,d,springgreen,5
209,30,2.1,1.061878622,2.090909091,2.105263158,0.15,1.061878622,1,d,springgreen,5
210,38,1.947368421,1.469461538,1.708333333,2.357142857,0.139097744,1.469461538,1,d,springgreen,5
211,41,1.951219512,1.283573518,2.05,1.857142857,0.139372822,1.283573518,1,d,springgreen,5
212,42,1.380952381,1.305754262,1.409090909,1.35,0.098639456,1.305754262,1,d,springgreen,5
213,45,2.111111111,1.36884527,2,2.227272727,0.150793651,1.36884527,1,d,springgreen,5
214,38,2.657894737,1.475499289,2.857142857,2.541666667,0.189849624,1.475499289,1,d,springgreen,5
215,32,1.625,1.313699529,2.142857143,1.222222222,0.116071429,1.313699529,1,d,springgreen,5
216,36,2.083333333,1.696635326,1.882352941,2.263157895,0.148809524,1.696635326,1,d,springgreen,5
217,32,2.125,1.431218745,1.947368421,2.384615385,0.151785714,1.431218745,1,d,springgreen,5
218,32,1.8125,1.255632471,1.6875,1.9375,0.129464286,1.255632471,1,d,springgreen,5
219,44,1.931818182,1.370753099,2.105263158,1.8,0.137987013,1.370753099,1,d,springgreen,5
220,43,1.953488372,1.344361919,2.210526316,1.75,0.139534884,1.344361919,1,d,springgreen,5
221,49,1.979591837,1.65189028,1.615384615,2.391304348,0.141399417,1.65189028,1,d,springgreen,5
222,52,2.019230769,1.590293901,2.153846154,1.884615385,0.144230769,1.590293901,1,d,springgreen,5
223,50,2.04,1.524761607,2,2.076923077,0.145714286,1.524761607,1,d,springgreen,5
224,40,2.1,1.918867187,2.476190476,1.684210526,0.15,1.918867187,1,d,springgreen,5
225,43,2.139534884,1.767179557,2.086956522,2.2,0.15282392,1.767179557,1,d,springgreen,5
226,37,2.486486486,1.725971894,2.1875,2.714285714,0.177606178,1.725971894,1,d,springgreen,5
227,35,1.942857143,1.714005579,2.076923077,1.863636364,0.13877551,1.714005579,1,d,springgreen,5
228,46,1.782608696,1.227699628,1.916666667,1.636363636,0.127329193,1.227699628,1,d,springgreen,5
229,48,1.770833333,1.38747564,1.48,2.086956522,0.126488095,1.38747564,1,d,springgreen,5
230,52,1.942307692,1.363580373,2.037037037,1.84,0.138736264,1.363580373,1,d,springgreen,5
231,58,2.482758621,1.66745293,2.464285714,2.5,0.177339901,1.66745293,1,d,springgreen,5
232,58,1.982758621,1.561503766,2.157894737,1.65,0.141625616,1.561503766,1,d,springgreen,5
233,48,1.916666667,1.411703865,1.52,2.347826087,0.136904762,1.411703865,1,d,springgreen,5
234,50,1.82,1.780735918,1.689655172,2,0.13,1.780735918,1,d,springgreen,5
235,45,2.177777778,1.526863822,2.037037037,2.388888889,0.155555556,1.526863822,1,d,springgreen,5
236,43,2.023255814,1.595952799,1.7,2.304347826,0.144518272,1.595952799,1,d,springgreen,5
237,55,1.872727273,1.491389427,1.766666667,2,0.133766234,1.491389427,1,d,springgreen,5
238,55,2.090909091,1.404657956,2.068965517,2.115384615,0.149350649,1.404657956,1,d,springgreen,5
239,55,1.854545455,1.520455363,1.633333333,2.12,0.132467532,1.520455363,1,d,springgreen,5
240,58,2.137931034,1.771591374,2.03125,2.269230769,0.15270936,1.771591374,1,d,springgreen,5
241,59,1.728813559,1.387512143,1.392857143,2.032258065,0.123486683,1.387512143,1,d,springgreen,5
242,50,1.84,1.461897006,1.75,1.954545455,0.131428571,1.461897006,1,d,springgreen,5
243,51,1.058823529,1.047124915,1.185185185,0.916666667,0.075630252,1.047124915,1,d,springgreen,5
244,47,0.978723404,1.031869593,0.833333333,1.130434783,0.069908815,1.031869593,1,d,springgreen,5
