YearBorn,nBornThisYear,meanLRS,SD,LRSfemale,LRSmale,meanRRS,SDRRS,replicate,parameterset
206,51,1.294117647,1.346018093,1.5,1.137931034,0.117647059,1.346018093,1,1
207,56,1.107142857,1.344058595,1.263157895,1.027027027,0.100649351,1.344058595,1,1
208,49,1.367346939,1.349288046,1.52,1.208333333,0.124304267,1.349288046,1,1
209,49,0.897959184,1.065459564,1.045454545,0.777777778,0.081632653,1.065459564,1,1
210,56,1.5,1.414213562,1.68,1.35483871,0.136363636,1.414213562,1,1
211,59,1.288135593,1.426967456,1.85,1,0.117103236,1.426967456,1,1
212,52,1.346153846,1.426425883,1.28,1.407407407,0.122377622,1.426425883,1,1
213,57,1.210526316,1.206187058,1.111111111,1.3,0.110047847,1.206187058,1,1
214,56,1.910714286,1.781488506,2.193548387,1.56,0.173701299,1.781488506,1,1
215,56,1.535714286,1.264397603,1.46875,1.625,0.13961039,1.264397603,1,1
216,69,1.362318841,1.464993621,1.424242424,1.305555556,0.123847167,1.464993621,1,1
217,54,1.611111111,1.45908561,1.518518519,1.703703704,0.146464646,1.45908561,1,1
218,68,1.191176471,1.200215813,1.176470588,1.205882353,0.10828877,1.200215813,1,1
219,62,1.419354839,1.531616387,1.405405405,1.44,0.129032258,1.531616387,1,1
220,62,1.338709677,1.514341802,1.393939394,1.275862069,0.12170088,1.514341802,1,1
221,67,1.597014925,1.670235889,1.407407407,1.725,0.145183175,1.670235889,1,1
222,68,1.264705882,1.334028206,1.416666667,1.09375,0.114973262,1.334028206,1,1
223,59,1.288135593,1.742479876,1.107142857,1.451612903,0.117103236,1.742479876,1,1
224,62,1.5,1.533772805,1.774193548,1.225806452,0.136363636,1.533772805,1,1
225,72,1.263888889,1.618493958,1,1.612903226,0.11489899,1.618493958,1,1
226,65,1.615384615,1.851454729,1.322580645,1.882352941,0.146853147,1.851454729,1,1
227,65,1.076923077,1.176696811,0.973684211,1.222222222,0.097902098,1.176696811,1,1
228,69,1.768115942,1.75016745,1.666666667,1.9,0.160737813,1.75016745,1,1
